image_name,seed,method,mIoU,F1,Boundary_IoU
dunedin_0,123,Compact-ResUNet target-adapted,0.7449919606549796,0.8538629145032967,0.5153430937610347
dunedin_1,123,Compact-ResUNet target-adapted,0.6992026723406852,0.8229773690001837,0.41236176935461155
dunedin_10,123,Compact-ResUNet target-adapted,0.6132073055159886,0.7602337324148747,0.4350968093835329
dunedin_100,123,Compact-ResUNet target-adapted,0.4019103022703435,0.5733752032760238,0.2902802439644076
dunedin_1000,123,Compact-ResUNet target-adapted,0.475539502562749,0.6445635670695486,0.33606245240540683
dunedin_1001,123,Compact-ResUNet target-adapted,0.3663183774206319,0.5362123257068732,0.26674364904541065
dunedin_1002,123,Compact-ResUNet target-adapted,0.7077458407341554,0.8288655417597062,0.42495046799403924
dunedin_1003,123,Compact-ResUNet target-adapted,0.8664397549371485,0.9284411700348061,0.6216042780829604
dunedin_1004,123,Compact-ResUNet target-adapted,0.6790960451983653,0.8088829071334653,0.4729693100036956
dunedin_1005,123,Compact-ResUNet target-adapted,0.6654797156319384,0.7991447861966998,0.46080466117126984
dunedin_1006,123,Compact-ResUNet target-adapted,0.7008068214214176,0.8240875008199019,0.5010334137109101
dunedin_1007,123,Compact-ResUNet target-adapted,0.7435002352516529,0.8528822884204843,0.4910399459027894
dunedin_1008,123,Compact-ResUNet target-adapted,0.49083061965458497,0.658465976192575,0.38339180033906384
dunedin_1009,123,Compact-ResUNet target-adapted,0.49588946459586913,0.6630028171623724,0.34855291259040755
dunedin_101,123,Compact-ResUNet target-adapted,0.6837040683887814,0.8121428001809262,0.49330345644801604
dunedin_1010,123,Compact-ResUNet target-adapted,0.5396874569752868,0.7010350763459323,0.3995696280393509
dunedin_1011,123,Compact-ResUNet target-adapted,0.7564245312441259,0.8613231229559517,0.5558422410648297
dunedin_1012,123,Compact-ResUNet target-adapted,0.6774438308827828,0.8077097049811336,0.44103463393656994
dunedin_1013,123,Compact-ResUNet target-adapted,0.3207952517957951,0.4857607586924551,0.28110216085359224
dunedin_1014,123,Compact-ResUNet target-adapted,0.6100671424356867,0.7578157784308673,0.40652739771939356
dunedin_1015,123,Compact-ResUNet target-adapted,0.41899163013442114,0.5905484165452196,0.3682039435742248
dunedin_1016,123,Compact-ResUNet target-adapted,0.5153985507263935,0.680215182307997,0.3669141796418184
dunedin_1017,123,Compact-ResUNet target-adapted,0.6031526833072277,0.7524581901491386,0.3935259575231718
dunedin_1018,123,Compact-ResUNet target-adapted,0.43419944477458094,0.605493812393043,0.34473799295309154
dunedin_1019,123,Compact-ResUNet target-adapted,0.6554786944252935,0.7918902207952292,0.4399629972262721
dunedin_102,123,Compact-ResUNet target-adapted,0.7311073437450392,0.8446701429424828,0.4612607058731781
dunedin_1020,123,Compact-ResUNet target-adapted,0.18057407760468477,0.30590893198325514,0.31768610716787943
dunedin_1021,123,Compact-ResUNet target-adapted,0.5165358468263692,0.6812049288609183,0.2598868391605473
dunedin_1022,123,Compact-ResUNet target-adapted,0.7627014046341342,0.8653778826395727,0.4123779144351594
dunedin_1023,123,Compact-ResUNet target-adapted,0.6101064290044885,0.7578460877043759,0.3975925300947292
dunedin_1024,123,Compact-ResUNet target-adapted,0.7667129292460573,0.8679541724678048,0.5489472591851372
dunedin_1025,123,Compact-ResUNet target-adapted,0.6608999478330391,0.7958335463797025,0.5026314748140108
dunedin_1026,123,Compact-ResUNet target-adapted,0.8076338955717927,0.8935812694707737,0.5827487036481268
dunedin_1027,123,Compact-ResUNet target-adapted,0.5704262481248457,0.7264604101030194,0.4338059928029275
dunedin_1028,123,Compact-ResUNet target-adapted,0.6551634395174173,0.7916601150981228,0.4469850437493061
dunedin_1029,123,Compact-ResUNet target-adapted,0.7025448115665802,0.8252878946780718,0.48525827045999637
dunedin_103,123,Compact-ResUNet target-adapted,0.7600262321557785,0.8636533004675868,0.399408585710213
dunedin_1030,123,Compact-ResUNet target-adapted,0.8207539249435805,0.9015539263153798,0.5714624830066004
dunedin_1031,123,Compact-ResUNet target-adapted,0.6680844541522422,0.8010199393551096,0.5206758657068011
dunedin_1032,123,Compact-ResUNet target-adapted,0.7174602753186371,0.8354898050674493,0.48011411310731644
dunedin_1033,123,Compact-ResUNet target-adapted,0.6154631308780851,0.7619649363875388,0.43528205484787585
dunedin_1034,123,Compact-ResUNet target-adapted,0.7636490928295377,0.8659875662729324,0.4531802324250787
dunedin_1035,123,Compact-ResUNet target-adapted,0.705773018217989,0.8275110588338415,0.399058385033719
dunedin_1036,123,Compact-ResUNet target-adapted,0.710279779837407,0.8306006867540985,0.46445823126882524
dunedin_1037,123,Compact-ResUNet target-adapted,0.7804351047019701,0.8766790798955093,0.49396026060259685
dunedin_1038,123,Compact-ResUNet target-adapted,0.31603790581321656,0.48028693461904465,0.33675908222061524
dunedin_1039,123,Compact-ResUNet target-adapted,0.5684564545780135,0.7248609968336991,0.40808113329176693
dunedin_104,123,Compact-ResUNet target-adapted,0.33453077878599197,0.5013459173855925,0.24718761797472866
dunedin_1040,123,Compact-ResUNet target-adapted,0.6627836316318346,0.7971976858844478,0.2851463208000875
dunedin_1041,123,Compact-ResUNet target-adapted,0.6760784637969448,0.8067384414273475,0.4437684903560825
dunedin_1042,123,Compact-ResUNet target-adapted,0.5881602153541535,0.740681210456711,0.42410334234213976
dunedin_1043,123,Compact-ResUNet target-adapted,0.5951102638995556,0.7461681833135115,0.38918821839263296
dunedin_1044,123,Compact-ResUNet target-adapted,0.7250104449558048,0.8405867304463441,0.5062873015295737
dunedin_1045,123,Compact-ResUNet target-adapted,0.23428556425033573,0.37962943266249055,0.3237485296083927
dunedin_1046,123,Compact-ResUNet target-adapted,0.8316892725134594,0.908111746889663,0.5750202757846699
dunedin_1047,123,Compact-ResUNet target-adapted,6.451612899063476e-10,6.451612899063476e-10,3.787878786443985e-10
dunedin_1048,123,Compact-ResUNet target-adapted,1.0,1.0,1.0
dunedin_1049,123,Compact-ResUNet target-adapted,1.0,1.0,1.0
dunedin_105,123,Compact-ResUNet target-adapted,0.4235326013300162,0.5950444702618793,0.33407634438933365
dunedin_1050,123,Compact-ResUNet target-adapted,1.0,1.0,1.0
dunedin_1051,123,Compact-ResUNet target-adapted,1.9383601472777987e-11,1.9383601472777987e-11,1.5979546180633116e-11
dunedin_1052,123,Compact-ResUNet target-adapted,3.330003329892441e-11,3.330003329892441e-11,2.7700831024163413e-11
dunedin_1053,123,Compact-ResUNet target-adapted,0.42012718319744835,0.5916754332542552,0.19150683480133646
dunedin_1054,123,Compact-ResUNet target-adapted,0.5655932623245836,0.722528993877312,0.3615519446711755
dunedin_1055,123,Compact-ResUNet target-adapted,0.453572797714416,0.6240799200802205,0.33160264470991035
dunedin_1056,123,Compact-ResUNet target-adapted,0.5708532786268964,0.7268066170071328,0.40788085188169637
dunedin_1057,123,Compact-ResUNet target-adapted,0.45485149209339193,0.6252892402626961,0.3522123245010733
dunedin_1058,123,Compact-ResUNet target-adapted,0.6045151265884648,0.7535175163772565,0.41584077985496376
dunedin_1059,123,Compact-ResUNet target-adapted,0.7013120967165184,0.8244367368808163,0.46299174937330506
dunedin_106,123,Compact-ResUNet target-adapted,0.6099477671657336,0.7577236722890196,0.465704684725581
dunedin_1060,123,Compact-ResUNet target-adapted,0.6994772112554,0.8231675089524837,0.5063304935432484
dunedin_1061,123,Compact-ResUNet target-adapted,0.7773534783333926,0.8747314339094945,0.5198257186682573
dunedin_1062,123,Compact-ResUNet target-adapted,0.7987558425725396,0.8881203592702321,0.5644526021957775
dunedin_1063,123,Compact-ResUNet target-adapted,0.699062637083902,0.8228803598242849,0.5369228204709361
dunedin_1064,123,Compact-ResUNet target-adapted,0.792530477972273,0.8842588594295101,0.5710826120842103
dunedin_1065,123,Compact-ResUNet target-adapted,0.7812939799289991,0.8772207044230398,0.5670800924961802
dunedin_1066,123,Compact-ResUNet target-adapted,0.8288681948436327,0.9064274803184112,0.5271283634811741
dunedin_1067,123,Compact-ResUNet target-adapted,0.6704820662693368,0.802740813334897,0.46269486560001993
dunedin_1068,123,Compact-ResUNet target-adapted,0.6312294894303706,0.7739309441379137,0.44345453770526566
dunedin_1069,123,Compact-ResUNet target-adapted,0.6456954445176065,0.7847083087803589,0.4495351925641886
dunedin_107,123,Compact-ResUNet target-adapted,0.5609057609086853,0.7186926654447298,0.384296642590477
dunedin_1070,123,Compact-ResUNet target-adapted,0.7085744345084484,0.8294334975370468,0.4774547125238293
dunedin_1071,123,Compact-ResUNet target-adapted,0.654932173400601,0.791491257378482,0.3905755689371605
dunedin_1072,123,Compact-ResUNet target-adapted,0.7013461494137089,0.8244602659550434,0.4425586254946771
dunedin_1073,123,Compact-ResUNet target-adapted,0.7248389948228682,0.8404714840033186,0.41811866859736013
dunedin_1074,123,Compact-ResUNet target-adapted,0.6128864166335176,0.7599870769729747,0.39950149769464655
dunedin_1075,123,Compact-ResUNet target-adapted,0.7549490314801507,0.8603657632647401,0.5115725405773609
dunedin_1076,123,Compact-ResUNet target-adapted,0.6604653092845241,0.7955183472866046,0.433047779308977
dunedin_1077,123,Compact-ResUNet target-adapted,0.46406366575599906,0.6339391880420125,0.29721535519708375
dunedin_1078,123,Compact-ResUNet target-adapted,0.8362445415204707,0.910820451853648,0.6842105263850415
dunedin_1079,123,Compact-ResUNet target-adapted,0.5811111111576543,0.7350667603840431,0.4061913696617081
dunedin_108,123,Compact-ResUNet target-adapted,0.538768410067172,0.7002592547936509,0.35765456330050216
dunedin_1080,123,Compact-ResUNet target-adapted,0.4113112100370181,0.5828781166218024,0.195159970386208
dunedin_1081,123,Compact-ResUNet target-adapted,0.13860387464858737,0.2434628543505289,0.2964683423525519
dunedin_1082,123,Compact-ResUNet target-adapted,0.7126608241682578,0.8322264561794653,0.4206719903658178
dunedin_1083,123,Compact-ResUNet target-adapted,2.8409090901020144e-10,2.8409090901020144e-10,2.386634844299132e-10
dunedin_1084,123,Compact-ResUNet target-adapted,1.0,1.0,1.0
dunedin_1085,123,Compact-ResUNet target-adapted,1.680672268625097e-10,1.680672268625097e-10,1.3262599467737056e-10
dunedin_1086,123,Compact-ResUNet target-adapted,5.181347147574431e-10,5.181347147574431e-10,3.2467532456991056e-10
dunedin_1087,123,Compact-ResUNet target-adapted,1.0,1.0,1.0
dunedin_1088,123,Compact-ResUNet target-adapted,2.7777777770061727e-10,2.7777777770061727e-10,2.3529411759169546e-10
dunedin_1089,123,Compact-ResUNet target-adapted,2.8818443795729553e-10,2.8818443795729553e-10,2.283105022309793e-10
dunedin_109,123,Compact-ResUNet target-adapted,0.59657292172728,0.7473168479917042,0.2572394842554173
