image_id,region,mIoU,F1,Boundary_IoU
dunedin_0,Dunedin,0.7953332316612106,0.8860006795787823,0.4980454387138675
dunedin_1,Dunedin,0.8159982889534467,0.8986773764237358,0.47979510529558056
dunedin_10,Dunedin,0.8299441519925449,0.9070704710728263,0.5133756139453847
dunedin_100,Dunedin,0.8214525891062487,0.9019752630609358,0.43703807000810874
dunedin_1000,Dunedin,0.5825945479311266,0.7362524389993574,0.282879459578616
dunedin_1001,Dunedin,0.3209477652492758,0.4859355890955592,0.17897271274647086
dunedin_1002,Dunedin,0.6887003210248583,0.8156572394167827,0.38442054129290626
dunedin_1003,Dunedin,0.8376288659815839,0.9116409537173423,0.5354070152319566
dunedin_1004,Dunedin,0.6939908500544988,0.819356078614022,0.41513446953959887
dunedin_1005,Dunedin,0.8167185060575638,0.8991139830791426,0.5070867649884944
dunedin_1006,Dunedin,0.7495455316676569,0.8568459844004261,0.44347942022466624
dunedin_1007,Dunedin,0.8267802084865266,0.905177540949426,0.4900394428092016
dunedin_1008,Dunedin,0.7523938999885441,0.858704084730446,0.3893351298145066
dunedin_1009,Dunedin,0.8767912238605526,0.9343513681366048,0.514731098990532
dunedin_101,Dunedin,0.7821501676113469,0.8777601145245671,0.44967076719041993
dunedin_1010,Dunedin,0.8259055306637962,0.904653079574583,0.5026211481939482
dunedin_1011,Dunedin,0.7971736570350704,0.8871414889866245,0.5352166010335109
dunedin_1012,Dunedin,0.6577688018630296,0.7935591514611257,0.3915597464879304
dunedin_1013,Dunedin,0.7590475855528469,0.8630210936721723,0.44559277738509384
dunedin_1014,Dunedin,0.8131193113038311,0.8969286314853641,0.4499648551683254
dunedin_1015,Dunedin,0.33463172804679836,0.501459273017542,0.1813379519411936
dunedin_1016,Dunedin,0.6452967432645221,0.7844138097347687,0.3122121110026277
dunedin_1017,Dunedin,0.7779584688519473,0.8751143319497212,0.4075914800671557
dunedin_1018,Dunedin,0.7211374674460179,0.8379777688716451,0.4395009069975009
dunedin_1019,Dunedin,0.7422046897596306,0.8520292639803595,0.42329442282899277
dunedin_102,Dunedin,0.8366903678641068,0.9110848322649461,0.4778104437923426
dunedin_1020,Dunedin,0.7471040079299167,0.855248462070567,0.28773820214219553
dunedin_1021,Dunedin,0.8049364639441459,0.891927754825389,0.3506119510462541
dunedin_1022,Dunedin,0.8414181794352954,0.913880604451592,0.34944786851775345
dunedin_1023,Dunedin,0.7846150587290588,0.879310140179777,0.40662627696669973
dunedin_1024,Dunedin,0.7509957939893722,0.857792801749964,0.4800075666229694
dunedin_1025,Dunedin,0.7515018849571307,0.8581228389319581,0.43880390764555055
dunedin_1026,Dunedin,0.8065100428012417,0.8928929523697143,0.4834888888900367
dunedin_1027,Dunedin,0.7410814540243496,0.8512886658017146,0.4347062400084791
dunedin_1028,Dunedin,0.7924220898559853,0.8841913903433071,0.43147605520515475
dunedin_1029,Dunedin,0.7655896892659506,0.8672339829806434,0.44026917579966574
dunedin_103,Dunedin,0.45531098438561185,0.625723284260555,0.15950000000600356
dunedin_1030,Dunedin,0.8025134126431617,0.8904382147884223,0.4872384402808072
dunedin_1031,Dunedin,0.7563939206854908,0.8613032780142987,0.4963964166247639
dunedin_1032,Dunedin,0.7905614694785806,0.8830319237336393,0.439334228661986
dunedin_1033,Dunedin,0.7717264655070797,0.8711575748642912,0.44951766156624084
dunedin_1034,Dunedin,0.7826709758381188,0.8780879774744474,0.400674521290908
dunedin_1035,Dunedin,0.7783357866484688,0.8753530041874468,0.3712906544291333
dunedin_1036,Dunedin,0.8011503174827883,0.8895985079161766,0.40930385856014007
dunedin_1037,Dunedin,0.8189278111091943,0.9004511406197505,0.45279571202472213
dunedin_1038,Dunedin,0.7740235901971957,0.8726192757234407,0.39105727531258017
dunedin_1039,Dunedin,0.7734022838828841,0.8722243011770924,0.43325020414593973
