variant,n_seeds,mIoU_mean,mIoU_std,F1_mean,F1_std,BIoU_mean,BIoU_std
rgb_only,3,73.91838086261599,1.2051321297589674,82.03048353770313,0.951794455414101,43.811887789287766,2.8594665053143533
sam_only,3,74.41287146766852,1.5432245091982402,82.41669866920972,1.2214633981405825,44.64466621863959,2.737169112913223
