Filename,City,M0_IoU,M2_IoU
dunedin_1107.tif,dunedin,0.840978,0.851837
dunedin_1108.tif,dunedin,0.855693,0.878180
dunedin_1109.tif,dunedin,0.830513,0.847805
dunedin_111.tif,dunedin,0.920253,0.923358
dunedin_1110.tif,dunedin,0.769219,0.798103
dunedin_1111.tif,dunedin,0.693597,0.801945
dunedin_1112.tif,dunedin,0.822506,0.834921
dunedin_1113.tif,dunedin,0.685115,0.785140
dunedin_1114.tif,dunedin,1.000000,0.000000
dunedin_1115.tif,dunedin,0.899884,0.846004
dunedin_1116.tif,dunedin,0.924299,0.954663
dunedin_1117.tif,dunedin,0.215235,0.272167
dunedin_1118.tif,dunedin,0.068948,0.050001
dunedin_1119.tif,dunedin,0.953333,0.942193
dunedin_112.tif,dunedin,1.000000,1.000000
dunedin_1120.tif,dunedin,0.520619,0.623094
dunedin_1121.tif,dunedin,1.000000,0.000000
dunedin_1122.tif,dunedin,1.000000,1.000000
dunedin_1123.tif,dunedin,1.000000,1.000000
dunedin_1124.tif,dunedin,1.000000,1.000000
dunedin_1125.tif,dunedin,1.000000,1.000000
dunedin_1126.tif,dunedin,1.000000,1.000000
dunedin_1127.tif,dunedin,0.882873,0.883057
dunedin_1128.tif,dunedin,0.834155,0.809346
dunedin_1129.tif,dunedin,0.861339,0.874260
dunedin_113.tif,dunedin,0.770265,0.791258
dunedin_1130.tif,dunedin,0.864379,0.855269
dunedin_1131.tif,dunedin,0.851464,0.871142
dunedin_1132.tif,dunedin,0.851034,0.853504
dunedin_1133.tif,dunedin,0.877721,0.885015
dunedin_1134.tif,dunedin,0.779446,0.822715
dunedin_1135.tif,dunedin,0.855525,0.857623
dunedin_1136.tif,dunedin,0.869511,0.869779
dunedin_1137.tif,dunedin,0.848909,0.864934
dunedin_1138.tif,dunedin,0.847080,0.855347
dunedin_1139.tif,dunedin,0.847401,0.849367
dunedin_114.tif,dunedin,0.847293,0.865287
dunedin_1140.tif,dunedin,0.851451,0.843716
dunedin_1141.tif,dunedin,0.862498,0.869861
dunedin_1142.tif,dunedin,0.811900,0.834286
dunedin_1143.tif,dunedin,0.856649,0.853986
dunedin_1144.tif,dunedin,0.831972,0.843080
dunedin_1145.tif,dunedin,0.860070,0.888067
dunedin_1146.tif,dunedin,0.795368,0.790689
dunedin_1147.tif,dunedin,1.000000,0.000000
dunedin_1148.tif,dunedin,1.000000,1.000000
dunedin_1149.tif,dunedin,0.652816,0.745748
dunedin_115.tif,dunedin,0.857832,0.864903
dunedin_1150.tif,dunedin,0.749950,0.825982
dunedin_1151.tif,dunedin,0.874549,0.836916
dunedin_1152.tif,dunedin,0.615309,0.693069
dunedin_1153.tif,dunedin,0.744400,0.753360
dunedin_1154.tif,dunedin,1.000000,1.000000
dunedin_1155.tif,dunedin,1.000000,0.000000
dunedin_1156.tif,dunedin,0.942269,0.937844
dunedin_1157.tif,dunedin,1.000000,1.000000
dunedin_1158.tif,dunedin,1.000000,1.000000
dunedin_1159.tif,dunedin,1.000000,1.000000
dunedin_116.tif,dunedin,0.894391,0.771587
dunedin_1160.tif,dunedin,1.000000,0.000000
dunedin_1161.tif,dunedin,1.000000,0.000000
dunedin_1162.tif,dunedin,1.000000,1.000000
dunedin_1163.tif,dunedin,0.000000,0.000000
dunedin_1164.tif,dunedin,0.723356,0.811564
dunedin_1165.tif,dunedin,0.850705,0.856363
dunedin_1166.tif,dunedin,0.796523,0.855524
dunedin_1167.tif,dunedin,0.831702,0.865463
dunedin_1168.tif,dunedin,0.834856,0.846397
dunedin_1169.tif,dunedin,0.819914,0.840609
dunedin_117.tif,dunedin,0.890648,0.878667
dunedin_1170.tif,dunedin,0.823204,0.840114
dunedin_1171.tif,dunedin,0.852703,0.858862
dunedin_1172.tif,dunedin,0.753188,0.784287
dunedin_1173.tif,dunedin,1.000000,0.000000
dunedin_1174.tif,dunedin,0.840555,0.906739
dunedin_1175.tif,dunedin,0.781634,0.817691
dunedin_1176.tif,dunedin,0.841673,0.837925
dunedin_1177.tif,dunedin,0.838334,0.846705
dunedin_1178.tif,dunedin,0.869026,0.860639
dunedin_1179.tif,dunedin,0.872360,0.903620
