model,seed,num_regions,region_balanced_mIoU,region_balanced_F1,region_balanced_Boundary_IoU,worst_region_mIoU,worst_region_Boundary_IoU,region_mIoU_std,region_Boundary_IoU_std
HL-Residual (Ours),42,5,0.7270898913868737,0.8131181510086034,0.38837240846934373,0.5897912093391321,0.1910435967305753,0.1144690920998204,0.17683432425315282
HL-Residual (Ours),123,5,0.7076470640230029,0.7933238605286043,0.4085589028894837,0.49762608367798106,0.16778993446220866,0.14720841971048856,0.19063000166349575
HL-Residual (Ours),456,5,0.7109207687129391,0.7988699487126316,0.3921765136609606,0.5026417780697378,0.1776250050111677,0.14620595095477062,0.17577922930782533
Prompt-free LoRA,42,5,0.7180871774306751,0.8082988004766156,0.3534878846800561,0.5950492528941393,0.17741021300520152,0.10470438276902674,0.16066473935314585
Prompt-free LoRA,123,5,0.7068475345943817,0.7926424551843237,0.4075443162202104,0.4957655654668705,0.16962714308129015,0.14791848702608673,0.19012239258671526
Prompt-free LoRA,456,5,0.6903514246756368,0.7828592552229876,0.36092839485783157,0.49759095192682345,0.1723464001348123,0.1500513086623612,0.16298499387985363
