model,num_seeds,region_balanced_mIoU,region_balanced_mIoU_seed_std,region_balanced_F1,region_balanced_F1_seed_std,region_balanced_Boundary_IoU,region_balanced_Boundary_IoU_seed_std,worst_region_mIoU,worst_region_mIoU_seed_std,worst_region_Boundary_IoU,worst_region_Boundary_IoU_seed_std,region_mIoU_std,region_mIoU_std_seed_std,region_Boundary_IoU_std,region_Boundary_IoU_std_seed_std
HL-Residual (Ours),3,0.715219241374272,0.010409780708088442,0.801770653416613,0.010210976923704283,0.39636927500659597,0.010726512714749207,0.5300196903622836,0.051824368381657014,0.17881951206798388,0.011672760494176275,0.13596115425502653,0.018619419638215912,0.18108118507482462,0.008286327897143248
Prompt-free LoRA,3,0.7050953789002312,0.013950646307772303,0.7946001702946424,0.012832267999762325,0.37398686525269936,0.02929875738839579,0.5294685900959445,0.056801853039491194,0.17312791874043465,0.0039499522602588315,0.13422472615249156,0.025587599284444332,0.17125737527323825,0.016378722598100186
