seed,model,mIoU_pct,F1_pct,Boundary_IoU_pct
42,HL-Residual (Ours),75.97811225093,83.71422125454667,45.758636799149556
42,Prompt-free LoRA,74.85241258735826,83.08486867727385,41.98733703178077
123,HL-Residual (Ours),74.82135321664686,82.42946359442286,47.90584058693513
123,Prompt-free LoRA,74.7712245323832,82.38472993075422,47.815430403788675
456,HL-Residual (Ours),75.34911451374032,83.16571288505742,46.32421074076678
456,Prompt-free LoRA,73.25311946601664,81.62499808937541,42.54741956815124
