metric,mean_gain_pp,median_gain_pp,ci_low_pp,ci_high_pp,win_rate
mIoU,1.0906077985196934,0.9222288091918274,1.0021384205591568,1.1802433725345134,0.705264490002531
F1,0.7382670122078165,0.5942070798599375,0.6529828821845268,0.8263064268301998,0.7091875474563402
Boundary IoU,2.546167041043593,2.3815591016206143,2.451501742354283,2.6443456625073876,0.7467729688686409
