region_prefix,model,mIoU,F1,Boundary_IoU
Dunedin,DeepLabv3+ ResNet50,0.8108958507616282,0.8765232034392203,0.5606626476114497
Khartoum,DeepLabv3+ ResNet50,0.3646339855954311,0.504062049152159,0.17262077814314547
Kitsap,DeepLabv3+ ResNet50,0.6837517415019354,0.7632734872566793,0.5342811255171559
Potsdam,DeepLabv3+ ResNet50,0.20530470133005851,0.2680411800830678,0.13037377203713535
Wuxi,DeepLabv3+ ResNet50,0.5672532417074114,0.6746088930090758,0.23309526167976466
