seed,model,mIoU,F1,Boundary_IoU
42,DeepLabv3+ ResNet50,0.5854974239859164,0.6749746383306432,0.3915483397853572
123,DeepLabv3+ ResNet50,0.5664749806774999,0.6530940119990618,0.38728854054506523
456,DeepLabv3+ ResNet50,0.6069150580588062,0.6882747924388835,0.41093938044069533
