seed,mIoU,F1,Boundary_IoU,threshold,min_area,closing_kernel,fill_holes
42,0.5814749499787073,0.6710197177665252,0.38743144091640663,0.4,128,5,False
123,0.5622426675196528,0.6487084841828619,0.3835783598131824,0.4,128,5,False
456,0.601709091097926,0.6830286773993869,0.4061748613721745,0.35,64,3,False
