image_id,region,mIoU,F1,Boundary_IoU
dunedin_0,Dunedin,0.8076494991403266,0.8935908200393019,0.4970094992396818
dunedin_1,Dunedin,0.793543080403468,0.8848887869755964,0.43315646434824573
dunedin_10,Dunedin,0.7372158708816753,0.8487325993715663,0.4655295972506544
dunedin_100,Dunedin,0.7890045662108164,0.8820598685018948,0.38487668999670577
dunedin_1000,Dunedin,0.6920699084544364,0.8180157391797405,0.26879199875551807
dunedin_1001,Dunedin,0.28571428575904045,0.4444444444715183,0.16891891901250913
dunedin_1002,Dunedin,0.6213442308061593,0.7664556594462322,0.31756428131604825
dunedin_1003,Dunedin,0.7215741391465695,0.8382725120431197,0.3246581385239379
dunedin_1004,Dunedin,0.6152817224010714,0.7618258955920755,0.4048811391353781
dunedin_1005,Dunedin,0.780096864897276,0.8764656354161002,0.4685522531170306
dunedin_1006,Dunedin,0.6790373911173223,0.8088412976501171,0.4161298980150753
dunedin_1007,Dunedin,0.7714362113022588,0.8709726112407368,0.4417408936214504
dunedin_1008,Dunedin,0.7332605531299708,0.8461053957591159,0.3843347942898789
dunedin_1009,Dunedin,0.8222965892579445,0.9024838153185878,0.3941398193628181
dunedin_101,Dunedin,0.7132295719848649,0.83261412673192,0.3816295926033951
dunedin_1010,Dunedin,0.7778431508279302,0.8750413673618817,0.4283879647784467
dunedin_1011,Dunedin,0.8146337086724927,0.8978491965391895,0.5462228870639774
dunedin_1012,Dunedin,0.6187478291089843,0.7644771075295322,0.3466205780734969
dunedin_1013,Dunedin,0.71905993963016,0.8365734353446286,0.374567274409332
dunedin_1014,Dunedin,0.7476155872473712,0.8555835650616498,0.38911268372567914
dunedin_1015,Dunedin,0.1429212474806881,0.2500981546954746,0.13900741074400397
dunedin_1016,Dunedin,0.22601567130036868,0.3686994817278426,0.15013495277226627
dunedin_1017,Dunedin,0.5980742696918563,0.7484937102541442,0.31688119544513427
dunedin_1018,Dunedin,0.6726081789994021,0.8042626927743854,0.35412813970515666
dunedin_1019,Dunedin,0.6713805042186061,0.8033843909556981,0.3505353918168972
dunedin_102,Dunedin,0.7275890965807775,0.8423173056842288,0.3574155970243611
dunedin_1020,Dunedin,0.12275515718151757,0.21866772358174938,0.18211738893057985
dunedin_1021,Dunedin,0.4180391471137823,0.5896017017081898,0.21712439418697854
dunedin_1022,Dunedin,0.6746626686661066,0.8057296329455461,0.30865497428083194
dunedin_1023,Dunedin,0.5663796196632059,0.7231703126791582,0.3203473418454415
dunedin_1024,Dunedin,0.6722083522474009,0.803976790743609,0.4269572235687534
dunedin_1025,Dunedin,0.6635946433949449,0.7977840587904295,0.4023188627634984
dunedin_1026,Dunedin,0.7222184518076877,0.838707135032165,0.42023655914103175
dunedin_1027,Dunedin,0.6689036166344756,0.8016084451698345,0.417929519370028
dunedin_1028,Dunedin,0.650744331207155,0.7884253411079511,0.4044959379629697
dunedin_1029,Dunedin,0.7234031064960612,0.8395053992524182,0.4208055982266007
dunedin_103,Dunedin,0.31779731299100017,0.482315921965671,0.14133942981251563
dunedin_1030,Dunedin,0.6945988098307194,0.8197796502642054,0.3846412782491761
dunedin_1031,Dunedin,0.6761948196540942,0.8068212736673495,0.48347079116427893
dunedin_1032,Dunedin,0.7520589991809113,0.8584859294491808,0.4191190654819009
dunedin_1033,Dunedin,0.6290711144375234,0.7723065111919425,0.36919564015311346
dunedin_1034,Dunedin,0.6668972212114223,0.8001659763121227,0.3153315649881903
dunedin_1035,Dunedin,0.707743202729624,0.8288637326715987,0.34047600629344144
dunedin_1036,Dunedin,0.7044953833209093,0.8266321988484554,0.3629376601209509
dunedin_1037,Dunedin,0.7937005620319088,0.8849866904571049,0.4190971401573645
dunedin_1038,Dunedin,0.4796486571541234,0.6483277700213147,0.2306689430413451
dunedin_1039,Dunedin,0.7265714691127452,0.8416349767276247,0.36361269607236757
dunedin_104,Dunedin,0.07915471148572595,0.14669761553430385,0.09375849262529433
dunedin_1040,Dunedin,0.7716262577424287,0.8710937246161982,0.27244764398143834
dunedin_1041,Dunedin,0.6512161726811146,0.7887715533012356,0.39268031028473066
dunedin_1042,Dunedin,0.6810705390298392,0.8102819283510472,0.3714015217946934
dunedin_1043,Dunedin,0.7494630170186898,0.8567920667402731,0.40748585233673934
dunedin_1044,Dunedin,0.7243316395584497,0.840130312453961,0.4154974609764322
dunedin_1045,Dunedin,0.9404638507386104,0.969318599138671,0.46800485840652045
dunedin_1046,Dunedin,0.851876234374465,0.92001421969712,0.5914429530544091
dunedin_1047,Dunedin,1.0,1.0,1.0
dunedin_1048,Dunedin,2.0746887962500644e-10,2.0746887962500644e-10,2.380952380385487e-10
dunedin_1049,Dunedin,1.0,1.0,1.0
dunedin_105,Dunedin,0.43997173292998676,0.6110838468116926,0.2264623397474636
dunedin_1050,Dunedin,1.0,1.0,1.0
dunedin_1051,Dunedin,1.5898251189841295e-10,1.5898251189841295e-10,1.107419711948237e-10
dunedin_1052,Dunedin,1.0,1.0,1.0
dunedin_1053,Dunedin,0.22159030396061347,0.36278988666140993,0.08556874817104379
dunedin_1054,Dunedin,0.5008022908501795,0.667379432857972,0.24752704077263785
dunedin_1055,Dunedin,0.5892516848714975,0.7415460879866773,0.3078191286179146
dunedin_1056,Dunedin,0.658534704767131,0.7941162797186506,0.34902739916058534
