image_id,method,model_name,seed,tp,fp,fn,pred_area,gt_area,iou,f1
kitsap_2337,HL-Residual,hl_residual_v2,456,35007,1648,1098,36655,36105,0.9272640584854184,0.9622594832325454
kitsap_2338,HL-Residual,hl_residual_v2,456,24053,552,682,24605,24735,0.951200221457666,0.9749898662342926
kitsap_2339,HL-Residual,hl_residual_v2,456,36977,1112,2222,38089,39199,0.9172930465629728,0.956862643618673
kitsap_234,HL-Residual,hl_residual_v2,456,20424,2554,1518,22978,21942,0.8337687785760941,0.9093499554764025
kitsap_2340,HL-Residual,hl_residual_v2,456,26731,1564,3429,28295,30160,0.8426112722229228,0.9145838679325977
kitsap_2341,HL-Residual,hl_residual_v2,456,35472,3899,9609,39371,45081,0.724213964883626,0.8400511533178611
kitsap_2342,HL-Residual,hl_residual_v2,456,2451,418,435,2869,2886,0.7418280871670703,0.8517810599478715
kitsap_2343,HL-Residual,hl_residual_v2,456,880,80,80,960,960,0.8461538461538461,0.9166666666666666
kitsap_2344,HL-Residual,hl_residual_v2,456,4687,1581,406,6268,5093,0.7022774947557686,0.8251034239943666
kitsap_2345,HL-Residual,hl_residual_v2,456,6126,1351,712,7477,6838,0.7480766882403224,0.85588543485854
kitsap_2346,HL-Residual,hl_residual_v2,456,23180,1310,3058,24490,26238,0.8414403949470016,0.9138937076170951
kitsap_2347,HL-Residual,hl_residual_v2,456,34537,1798,3582,36335,38119,0.8652203321892927,0.9277406183683885
kitsap_2348,HL-Residual,hl_residual_v2,456,66527,1490,939,68017,67466,0.9647746389001682,0.9820715514123544
kitsap_2349,HL-Residual,hl_residual_v2,456,46264,1083,1846,47347,48110,0.9404590083955034,0.9693160271116837
kitsap_235,HL-Residual,hl_residual_v2,456,30353,3414,1315,33767,31668,0.8652015278490394,0.9277298082066172
kitsap_2350,HL-Residual,hl_residual_v2,456,22271,2785,5833,25056,28104,0.7210010035935123,0.8378856282919488
kitsap_2351,HL-Residual,hl_residual_v2,456,5582,632,2572,6214,8154,0.6353289323924425,0.7770044543429844
kitsap_2352,HL-Residual,hl_residual_v2,456,25823,1354,3794,27177,29617,0.8337799877304575,0.9093566221783991
kitsap_2353,HL-Residual,hl_residual_v2,456,3681,319,614,4000,4295,0.7977893368010404,0.8875226039783002
kitsap_2354,HL-Residual,hl_residual_v2,456,0,0,0,0,0,1.0,1.0
kitsap_2355,HL-Residual,hl_residual_v2,456,11472,1426,248,12898,11720,0.8726608854404382,0.9320009748964172
kitsap_2356,HL-Residual,hl_residual_v2,456,34520,2969,1758,37489,36278,0.8795576731979514,0.9359198557620616
kitsap_2357,HL-Residual,hl_residual_v2,456,7070,792,1128,7862,8198,0.7864293659621802,0.8804483188044832
kitsap_2358,HL-Residual,hl_residual_v2,456,4467,204,569,4671,5036,0.8524809160305343,0.9203667456474709
kitsap_2359,HL-Residual,hl_residual_v2,456,13050,1457,2533,14507,15583,0.7658450704225352,0.8673978065802592
kitsap_236,HL-Residual,hl_residual_v2,456,17864,3790,639,21654,18503,0.8013277710492083,0.8897078965062131
kitsap_2360,HL-Residual,hl_residual_v2,456,29033,2786,5728,31819,34761,0.7732442006019122,0.8721237608891559
kitsap_2361,HL-Residual,hl_residual_v2,456,29538,2258,6438,31796,35976,0.7725584558246587,0.87168742253438
kitsap_2362,HL-Residual,hl_residual_v2,456,36638,3586,4431,40224,41069,0.8204680326951069,0.9013814227547268
kitsap_2363,HL-Residual,hl_residual_v2,456,8352,244,1276,8596,9628,0.8460291734197731,0.9165935030728709
kitsap_2364,HL-Residual,hl_residual_v2,456,0,0,0,0,0,1.0,1.0
kitsap_2365,HL-Residual,hl_residual_v2,456,100,72,70,172,170,0.4132231404958678,0.5847953216374269
kitsap_2366,HL-Residual,hl_residual_v2,456,351,49,33,400,384,0.8106235565819861,0.8954081632653061
kitsap_2367,HL-Residual,hl_residual_v2,456,10198,731,1956,10929,12154,0.7914629414047342,0.8835939869167786
kitsap_2368,HL-Residual,hl_residual_v2,456,9583,552,1683,10135,11266,0.810881705872398,0.8955656277744031
kitsap_2369,HL-Residual,hl_residual_v2,456,1596,138,252,1734,1848,0.8036253776435045,0.8911222780569514
kitsap_237,HL-Residual,hl_residual_v2,456,30243,2682,1004,32925,31247,0.8913613722774029,0.942560618338216
kitsap_2370,HL-Residual,hl_residual_v2,456,16591,1811,4465,18402,21056,0.7255433594262475,0.8409448020680217
kitsap_2371,HL-Residual,hl_residual_v2,456,36002,2527,8374,38529,44376,0.7675841630599322,0.8685121524636632
kitsap_2372,HL-Residual,hl_residual_v2,456,35228,1875,5394,37103,40622,0.8289526319504906,0.9064779671920231
kitsap_2373,HL-Residual,hl_residual_v2,456,1152,44,1758,1196,2910,0.3899796885578876,0.5611300535801267
