model,use_tta,num_seeds,avg_ms_per_image_mean,avg_ms_per_image_std,fps_mean,fps_std
HL-Residual (Ours),False,3,101.1851847389092,0.10069372224900179,9.882876257527391,0.009829853788971409
HL-Residual (Ours),True,3,298.21430535862845,0.2023114277403754,3.3532942213522805,0.002275331364511308
Prompt-free LoRA,False,3,98.64000903690855,0.09625568614793796,10.13788060504593,0.009887678389072537
Prompt-free LoRA,True,3,295.06031397357583,0.23207719198457538,3.3891389836374395,0.0026668636524419314
