method,seed,image_id,path,tp,fp,fn,pred_area,gt_area,iou,f1,biou
UNetFormer-style ResNet34,456,dunedin_0,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_0.tif,41478,4625,1548,46103,43026,0.87045393,0.93074084,0.75758609
UNetFormer-style ResNet34,456,dunedin_1,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1.tif,40776,8030,2427,48806,43203,0.79589327,0.88634807,0.61273226
UNetFormer-style ResNet34,456,dunedin_10,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_10.tif,30700,3137,1963,33837,32663,0.85754190,0.92330827,0.73644456
UNetFormer-style ResNet34,456,dunedin_100,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_100.tif,22035,1916,1754,23951,23789,0.85722622,0.92312526,0.69808252
UNetFormer-style ResNet34,456,dunedin_1000,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1000.tif,19358,2359,1442,21717,20800,0.83587374,0.91060047,0.64544605
UNetFormer-style ResNet34,456,dunedin_1001,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1001.tif,960,731,636,1691,1596,0.41254835,0.58411926,0.27500697
UNetFormer-style ResNet34,456,dunedin_1002,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1002.tif,45078,6284,5107,51362,50185,0.79827870,0.88782534,0.68955050
UNetFormer-style ResNet34,456,dunedin_1003,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1003.tif,6429,1442,230,7871,6659,0.79360573,0.88492774,0.67991127
UNetFormer-style ResNet34,456,dunedin_1004,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1004.tif,42272,8253,4300,50525,46572,0.77103511,0.87071691,0.68218004
UNetFormer-style ResNet34,456,dunedin_1005,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1005.tif,67442,6720,4454,74162,71896,0.85786608,0.92349615,0.78383806
UNetFormer-style ResNet34,456,dunedin_1006,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1006.tif,68762,7059,4502,75821,73264,0.85606862,0.92245363,0.78193016
UNetFormer-style ResNet34,456,dunedin_1007,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1007.tif,57584,4177,4437,61761,62021,0.86987522,0.93040991,0.77326549
UNetFormer-style ResNet34,456,dunedin_1008,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1008.tif,53337,4316,2925,57653,56262,0.88046816,0.93643506,0.79843871
UNetFormer-style ResNet34,456,dunedin_101,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_101.tif,55127,3964,6551,59091,61678,0.83981292,0.91293295,0.73522145
UNetFormer-style ResNet34,456,dunedin_1010,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1010.tif,25728,2680,484,28408,26212,0.89048872,0.94207250,0.79414904
UNetFormer-style ResNet34,456,dunedin_1011,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1011.tif,20429,2140,428,22569,20857,0.88833326,0.94086492,0.81532289
UNetFormer-style ResNet34,456,dunedin_1012,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1012.tif,17712,946,3219,18658,20931,0.80961741,0.89479401,0.73971890
UNetFormer-style ResNet34,456,dunedin_1013,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1013.tif,22120,8323,3529,30443,25649,0.65112446,0.78870427,0.55654033
UNetFormer-style ResNet34,456,dunedin_1014,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1014.tif,38101,12168,2953,50269,41054,0.71588817,0.83442287,0.59023149
UNetFormer-style ResNet34,456,dunedin_1015,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1015.tif,17135,6508,457,23643,17592,0.71099585,0.83109009,0.60340905
UNetFormer-style ResNet34,456,dunedin_1016,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1016.tif,24437,1414,1890,25851,26327,0.88089831,0.93667829,0.75760050
UNetFormer-style ResNet34,456,dunedin_1017,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1017.tif,60585,3661,4490,64246,65075,0.88141585,0.93697079,0.77560454
UNetFormer-style ResNet34,456,dunedin_1018,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1018.tif,58880,8860,3155,67740,62035,0.83052401,0.90741668,0.77203245
UNetFormer-style ResNet34,456,dunedin_1019,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1019.tif,49484,3406,9109,52890,58593,0.79814191,0.88774073,0.70823660
UNetFormer-style ResNet34,456,dunedin_102,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_102.tif,72684,4440,5971,77124,78655,0.87470967,0.93316814,0.73999337
UNetFormer-style ResNet34,456,dunedin_1020,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1020.tif,14257,1845,17009,16102,31266,0.43058198,0.60196757,0.39294261
UNetFormer-style ResNet34,456,dunedin_1021,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1021.tif,69838,5755,20142,75593,89980,0.72949287,0.84359165,0.51679693
UNetFormer-style ResNet34,456,dunedin_1022,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1022.tif,62618,5827,9956,68445,72574,0.79868879,0.88807891,0.54199909
UNetFormer-style ResNet34,456,dunedin_1023,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1023.tif,76748,5481,9452,82229,86200,0.83712001,0.91133950,0.68295746
UNetFormer-style ResNet34,456,dunedin_1024,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1024.tif,60510,5570,6180,66080,66690,0.83739275,0.91150109,0.75233772
UNetFormer-style ResNet34,456,dunedin_1025,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1025.tif,70221,7781,4807,78002,75028,0.84798754,0.91774162,0.76817954
UNetFormer-style ResNet34,456,dunedin_1026,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1026.tif,63814,4247,5182,68061,68996,0.87126415,0.93120381,0.78487279
UNetFormer-style ResNet34,456,dunedin_1027,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1027.tif,63624,7973,3158,71597,66782,0.85110026,0.91956149,0.75567076
UNetFormer-style ResNet34,456,dunedin_1028,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1028.tif,64712,5858,4685,70570,69397,0.85990300,0.92467510,0.78283401
UNetFormer-style ResNet34,456,dunedin_1029,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1029.tif,48846,5095,2654,53941,51500,0.86307978,0.92650866,0.77625289
UNetFormer-style ResNet34,456,dunedin_103,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_103.tif,16463,1430,1197,17893,17660,0.86238869,0.92611031,0.70084220
UNetFormer-style ResNet34,456,dunedin_1030,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1030.tif,60166,6673,2552,66839,62718,0.86705769,0.92879582,0.80578882
UNetFormer-style ResNet34,456,dunedin_1031,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1031.tif,67971,5715,3427,73686,71398,0.88144671,0.93698823,0.80058690
UNetFormer-style ResNet34,456,dunedin_1032,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1032.tif,62441,7754,4812,70195,67253,0.83246897,0.90857633,0.72199654
UNetFormer-style ResNet34,456,dunedin_1033,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1033.tif,87927,5587,5906,93514,93833,0.88439952,0.93865394,0.78557228
