image_id,method,model_name,seed,tp,fp,fn,pred_area,gt_area,iou,f1
kitsap_737,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_738,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_739,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_74,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_740,Prompt-free LoRA,lora_light,42,28539,2466,1093,31005,29632,0.8891208174964172,0.9413064630506126
kitsap_741,Prompt-free LoRA,lora_light,42,44360,3875,1999,48235,46359,0.8830672452920333,0.937903038247669
kitsap_742,Prompt-free LoRA,lora_light,42,18474,2668,700,21142,19174,0.8458016665140555,0.9164599662664947
kitsap_743,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_744,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_745,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_746,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_747,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_748,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_749,Prompt-free LoRA,lora_light,42,3107,1810,519,4917,3626,0.5715599705665931,0.7273791408170432
kitsap_75,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_750,Prompt-free LoRA,lora_light,42,28887,2575,2686,31462,31573,0.845935340283472,0.9165384310303799
kitsap_751,Prompt-free LoRA,lora_light,42,28262,3288,1214,31550,29476,0.8625930899768038,0.9262281650444073
kitsap_752,Prompt-free LoRA,lora_light,42,19235,2083,585,21318,19820,0.8781902022553988,0.9351451212990423
kitsap_753,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_754,Prompt-free LoRA,lora_light,42,1946,434,23,2380,1969,0.8098210570120683,0.8949183720395493
kitsap_755,Prompt-free LoRA,lora_light,42,3974,1080,1,5054,3975,0.7861523244312562,0.8802746705061468
kitsap_756,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_757,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_758,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_759,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_76,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_760,Prompt-free LoRA,lora_light,42,12940,1658,313,14598,13253,0.867815706525384,0.9292305482747477
kitsap_761,Prompt-free LoRA,lora_light,42,13923,1927,574,15850,14497,0.8477228446176327,0.9175865818697071
kitsap_762,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_763,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_764,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_765,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_766,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_767,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_768,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_769,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_77,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_770,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_771,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_772,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_773,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_774,Prompt-free LoRA,lora_light,42,4519,784,79,5303,4598,0.8396506874767744,0.9128370871629128
kitsap_775,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_776,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_777,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_778,Prompt-free LoRA,lora_light,42,1840,525,268,2365,2108,0.6988226357766806,0.8227140621506819
kitsap_779,Prompt-free LoRA,lora_light,42,4375,567,593,4942,4968,0.7904245709123758,0.8829465186680121
kitsap_78,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_780,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_781,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_782,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_783,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_784,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_785,Prompt-free LoRA,lora_light,42,1708,430,239,2138,1947,0.7185527976440892,0.8362301101591187
kitsap_786,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_787,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_788,Prompt-free LoRA,lora_light,42,4404,755,338,5159,4742,0.801164271420775,0.8896071103928896
kitsap_789,Prompt-free LoRA,lora_light,42,3711,709,433,4420,4144,0.7646816402225427,0.8666510976179356
kitsap_79,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_790,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_791,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_792,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_793,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_794,Prompt-free LoRA,lora_light,42,6812,4115,281,10927,7093,0.6077801570306923,0.756048834628191
kitsap_795,Prompt-free LoRA,lora_light,42,3077,1178,57,4255,3134,0.7135899814471243,0.8328596562457707
kitsap_796,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_797,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_798,Prompt-free LoRA,lora_light,42,3961,784,232,4745,4193,0.7958609604179224,0.8863280375923025
kitsap_799,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_8,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_80,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_800,Prompt-free LoRA,lora_light,42,1676,282,76,1958,1752,0.823992133726647,0.9035040431266846
kitsap_801,Prompt-free LoRA,lora_light,42,44081,5818,2887,49899,46968,0.8350888493161065,0.910134514334087
kitsap_802,Prompt-free LoRA,lora_light,42,48840,7026,3224,55866,52064,0.8265357928583517,0.9050310386361531
kitsap_803,Prompt-free LoRA,lora_light,42,46048,7753,2765,53801,48813,0.8140579146483754,0.8974993665581694
kitsap_804,Prompt-free LoRA,lora_light,42,17463,2673,1418,20136,18881,0.8101976431288855,0.8951482687033857
kitsap_805,Prompt-free LoRA,lora_light,42,2336,1000,332,3336,2668,0.6368593238822247,0.7781479013990673
kitsap_806,Prompt-free LoRA,lora_light,42,2995,419,610,3414,3605,0.7442842942345924,0.8533979199316142
kitsap_807,Prompt-free LoRA,lora_light,42,2235,614,13,2849,2248,0.7809224318658281,0.8769864626250736
kitsap_808,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_809,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_81,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_810,Prompt-free LoRA,lora_light,42,10286,1204,535,11490,10821,0.8553846153846154,0.9220563847429519
kitsap_811,Prompt-free LoRA,lora_light,42,23666,3598,1700,27264,25366,0.8170832757906367,0.8993349800494015
kitsap_812,Prompt-free LoRA,lora_light,42,34913,5419,1946,40332,36859,0.8257959222290553,0.9045873223562333
kitsap_813,Prompt-free LoRA,lora_light,42,30405,3554,1691,33959,32096,0.852875175315568,0.9205964726364393
kitsap_814,Prompt-free LoRA,lora_light,42,5960,1062,1333,7022,7293,0.713345302214243,0.8326929793922458
kitsap_815,Prompt-free LoRA,lora_light,42,1706,134,190,1840,1896,0.8403940886699507,0.9132762312633833
kitsap_816,Prompt-free LoRA,lora_light,42,1731,279,413,2010,2144,0.7144036318613289,0.8334135772749157
kitsap_817,Prompt-free LoRA,lora_light,42,4870,527,1236,5397,6106,0.7342077491331223,0.8467356341823872
kitsap_818,Prompt-free LoRA,lora_light,42,5121,1160,185,6281,5306,0.7919888648314259,0.8839216363165616
kitsap_819,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_82,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_820,Prompt-free LoRA,lora_light,42,8289,963,497,9252,8786,0.8502410503641399,0.91905976272314
kitsap_821,Prompt-free LoRA,lora_light,42,8800,947,415,9747,9215,0.8659712654989176,0.9281721337411666
kitsap_822,Prompt-free LoRA,lora_light,42,36455,4316,2296,40771,38751,0.8464717765342373,0.9168531978571968
kitsap_823,Prompt-free LoRA,lora_light,42,23031,2485,1774,25516,24805,0.8439355075119092,0.9153633671826872
kitsap_824,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_825,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_826,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_827,Prompt-free LoRA,lora_light,42,6968,1034,855,8002,7823,0.7867223664897821,0.8806319115323855
kitsap_828,Prompt-free LoRA,lora_light,42,6065,862,1016,6927,7081,0.7635654034999371,0.8659337521416334
kitsap_829,Prompt-free LoRA,lora_light,42,2780,685,74,3465,2854,0.7855326363379486,0.8798860579205571
kitsap_83,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_830,Prompt-free LoRA,lora_light,42,0,2394,0,2394,0,0.0,0.0
kitsap_831,Prompt-free LoRA,lora_light,42,30972,3767,2322,34739,33294,0.8357032999649227,0.9104993165081652
kitsap_832,Prompt-free LoRA,lora_light,42,33151,2909,3398,36060,36549,0.8401591565715444,0.9131374898428569
kitsap_833,Prompt-free LoRA,lora_light,42,32073,2454,3745,34527,35818,0.8380278010033445,0.9118771767716256
kitsap_834,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_835,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_836,Prompt-free LoRA,lora_light,42,0,0,5,0,5,0.0,0.0
kitsap_837,Prompt-free LoRA,lora_light,42,6952,1100,417,8052,7369,0.8208761364978155,0.9016276506063161
kitsap_838,Prompt-free LoRA,lora_light,42,3913,696,149,4609,4062,0.8224043715846995,0.9025487256371814
kitsap_839,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_84,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_840,Prompt-free LoRA,lora_light,42,5877,805,100,6682,5977,0.86655853730463,0.9285093609289833
kitsap_841,Prompt-free LoRA,lora_light,42,2174,332,1976,2506,4150,0.4850513163766176,0.6532451923076923
kitsap_842,Prompt-free LoRA,lora_light,42,2310,187,58,2497,2368,0.9041095890410958,0.9496402877697842
kitsap_843,Prompt-free LoRA,lora_light,42,0,685,0,685,0,0.0,0.0
kitsap_844,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_845,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
