seed,method,use_tta,val_threshold,val_min_area,val_closing_kernel,val_fill_holes,mIoU,F1,Boundary_IoU,fixed_mIoU,fixed_F1,fixed_Boundary_IoU
42,Compact-ResUNet target-adapted,True,0.6,128,0,False,47.55274658385964,57.07485200914027,32.03390018548774,48.066395484757805,57.81138254837516,31.511156161663774
123,Compact-ResUNet target-adapted,True,0.6,128,5,False,37.74863590254151,46.05215757624717,28.163187433254638,37.13562461158574,45.68838234615865,26.979532248729203
456,Compact-ResUNet target-adapted,True,0.4,128,5,False,44.26782464198353,53.1339708485399,31.368905053167573,42.19085125555238,50.96009199639251,30.18055900434902
