method,seed,image_id,path,tp,fp,fn,pred_area,gt_area,iou,f1,biou
UNetFormer-style ResNet34,123,kitsap_1295,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1295.tif,1233,59,690,1292,1923,0.62209889,0.76702955,0.60601002
UNetFormer-style ResNet34,123,kitsap_1296,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1296.tif,1630,254,10426,1884,12056,0.13241267,0.23385940,0.12297547
UNetFormer-style ResNet34,123,kitsap_1297,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1297.tif,3483,263,715,3746,4198,0.78076664,0.87688822,0.71253426
UNetFormer-style ResNet34,123,kitsap_1298,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1298.tif,4382,125,3930,4507,8312,0.51937893,0.68367267,0.51972727
UNetFormer-style ResNet34,123,kitsap_1299,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1299.tif,2522,17,1074,2539,3596,0.69803487,0.82216789,0.62488745
UNetFormer-style ResNet34,123,kitsap_13,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_13.tif,0,0,0,0,0,1.00000000,1.00000000,1.00000000
UNetFormer-style ResNet34,123,kitsap_130,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_130.tif,0,0,0,0,0,1.00000000,1.00000000,1.00000000
UNetFormer-style ResNet34,123,kitsap_1300,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1300.tif,4574,98,3268,4672,7842,0.57607053,0.73102126,0.50014472
UNetFormer-style ResNet34,123,kitsap_1301,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1301.tif,11711,830,6390,12541,18101,0.61861497,0.76437569,0.50429201
UNetFormer-style ResNet34,123,kitsap_1302,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1302.tif,13534,468,3133,14002,16667,0.78984535,0.88258502,0.69056767
UNetFormer-style ResNet34,123,kitsap_1303,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1303.tif,11220,331,5459,11551,16679,0.65961199,0.79489904,0.57008889
UNetFormer-style ResNet34,123,kitsap_1304,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1304.tif,13960,944,5884,14904,19844,0.67154127,0.80349948,0.52103584
UNetFormer-style ResNet34,123,kitsap_1305,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1305.tif,15360,992,2911,16352,18271,0.79738359,0.88727147,0.67369162
