region_prefix,seed,model,mIoU,F1,Boundary_IoU
Dunedin,456,DeepLabv3+ ResNet50,0.7888925859557845,0.8536560224218387,0.5466959958640037
Khartoum,456,DeepLabv3+ ResNet50,0.39680122616608865,0.5374020349953931,0.18803827767593928
Kitsap,456,DeepLabv3+ ResNet50,0.7203323949466918,0.7981941937810137,0.55795649421857
Potsdam,456,DeepLabv3+ ResNet50,0.18072558738920816,0.22342230817496644,0.13207309069335102
Wuxi,456,DeepLabv3+ ResNet50,0.607308508426314,0.7070388022682438,0.2564088456610924
