region_prefix,seed,model,mIoU,F1,Boundary_IoU
Dunedin,123,DeepLabv3+ ResNet50,0.8272595316012196,0.8905409768917218,0.5861072096083979
Khartoum,123,DeepLabv3+ ResNet50,0.308678283825481,0.4450763777847845,0.1683854440091136
Kitsap,123,DeepLabv3+ ResNet50,0.6411714740601749,0.721798112544433,0.5084235998550918
Potsdam,123,DeepLabv3+ ResNet50,0.18748043852268464,0.2544571987487277,0.11675083426990593
Wuxi,123,DeepLabv3+ ResNet50,0.58946077917527,0.6966287648252483,0.23693396219741156
