image_name,region_prefix,seed,model,mIoU,F1,Boundary_IoU
dunedin_0,Dunedin,123,DeepLabv3+ ResNet50,0.8436110496351455,0.9151724815296726,0.5731111289176624
dunedin_1,Dunedin,123,DeepLabv3+ ResNet50,0.8307708014296462,0.9075639624368098,0.5168832316825029
dunedin_10,Dunedin,123,DeepLabv3+ ResNet50,0.8183575383977161,0.9001063004569482,0.5741998060155458
dunedin_100,Dunedin,123,DeepLabv3+ ResNet50,0.8296159527332733,0.9068744197313469,0.4807772380327496
dunedin_1000,Dunedin,123,DeepLabv3+ ResNet50,0.8228630705401541,0.9028248844781525,0.4512449939104018
dunedin_1001,Dunedin,123,DeepLabv3+ ResNet50,0.4349341595881126,0.6062078272710875,0.1859823400007736
dunedin_1002,Dunedin,123,DeepLabv3+ ResNet50,0.795915238647164,0.8863616962753968,0.45547343651789524
dunedin_1003,Dunedin,123,DeepLabv3+ ResNet50,0.8886901485981192,0.9410650542730308,0.6590552943886488
dunedin_1004,Dunedin,123,DeepLabv3+ ResNet50,0.7394983531800701,0.850243234583151,0.5320787721489333
dunedin_1005,Dunedin,123,DeepLabv3+ ResNet50,0.8600932125675413,0.9247850664217866,0.6134969325161175
dunedin_1006,Dunedin,123,DeepLabv3+ ResNet50,0.8485250536289651,0.9180563195106467,0.5803655436118343
dunedin_1007,Dunedin,123,DeepLabv3+ ResNet50,0.8693283315471756,0.9300969946008488,0.6116733886319873
dunedin_1008,Dunedin,123,DeepLabv3+ ResNet50,0.8319445947410887,0.9082639258078629,0.5328643719080997
dunedin_1009,Dunedin,123,DeepLabv3+ ResNet50,0.8859607737417067,0.9395325566436646,0.5704140223664973
dunedin_101,Dunedin,123,DeepLabv3+ ResNet50,0.8622904191618828,0.9260536490864816,0.6011381272644073
dunedin_1010,Dunedin,123,DeepLabv3+ ResNet50,0.8093403622607146,0.8946247805463101,0.5344430992764259
dunedin_1011,Dunedin,123,DeepLabv3+ ResNet50,0.8899561041336436,0.9417743641633128,0.6694359756122756
dunedin_1012,Dunedin,123,DeepLabv3+ ResNet50,0.7194303416241312,0.8368240622579965,0.49011397999930123
dunedin_1013,Dunedin,123,DeepLabv3+ ResNet50,0.7269677501037219,0.841900782524526,0.4544655778403222
dunedin_1014,Dunedin,123,DeepLabv3+ ResNet50,0.755306383397747,0.8605977743162572,0.49354165307752124
dunedin_1015,Dunedin,123,DeepLabv3+ ResNet50,0.8385888845100582,0.912209240004523,0.5640590531175627
dunedin_1016,Dunedin,123,DeepLabv3+ ResNet50,0.8391112025517296,0.9125181787673631,0.527981171551203
dunedin_1017,Dunedin,123,DeepLabv3+ ResNet50,0.8820034944672656,0.9373027170886169,0.606913328128996
dunedin_1018,Dunedin,123,DeepLabv3+ ResNet50,0.8874095295538489,0.9403465603605088,0.6449022916562928
dunedin_1019,Dunedin,123,DeepLabv3+ ResNet50,0.8514987922120333,0.9197940563543774,0.5854597716745249
dunedin_102,Dunedin,123,DeepLabv3+ ResNet50,0.8779421965319331,0.9350044939117131,0.5803972130629531
dunedin_1020,Dunedin,123,DeepLabv3+ ResNet50,0.6214070881534792,0.766503480456348,0.36776625825289566
dunedin_1021,Dunedin,123,DeepLabv3+ ResNet50,0.8021806529476246,0.8902333421852362,0.40888523241651464
dunedin_1022,Dunedin,123,DeepLabv3+ ResNet50,0.8121093503380111,0.8963138457251089,0.3957599357210095
dunedin_1023,Dunedin,123,DeepLabv3+ ResNet50,0.8531756677005213,0.9207714978894861,0.5198659413262098
dunedin_1024,Dunedin,123,DeepLabv3+ ResNet50,0.8578229701282967,0.9234711637449556,0.5991465149369389
dunedin_1025,Dunedin,123,DeepLabv3+ ResNet50,0.8451025595556598,0.9160494143578978,0.5922637795283617
dunedin_1026,Dunedin,123,DeepLabv3+ ResNet50,0.8482778859751777,0.917911632673741,0.5976680900028813
dunedin_1027,Dunedin,123,DeepLabv3+ ResNet50,0.863453167822205,0.92672376503163,0.5929890468009573
dunedin_1028,Dunedin,123,DeepLabv3+ ResNet50,0.8808148454490043,0.9366311070760251,0.6244968101894477
dunedin_1029,Dunedin,123,DeepLabv3+ ResNet50,0.8733185229242861,0.9323759010944492,0.6032341444975311
dunedin_103,Dunedin,123,DeepLabv3+ ResNet50,0.8587194169710635,0.9239903657650703,0.5039079946460037
dunedin_1030,Dunedin,123,DeepLabv3+ ResNet50,0.8560125464489086,0.9224210774724066,0.5987894999329039
dunedin_1031,Dunedin,123,DeepLabv3+ ResNet50,0.8773696456499251,0.934679696865076,0.6329034003796498
dunedin_1032,Dunedin,123,DeepLabv3+ ResNet50,0.8418249435518106,0.9141204721968442,0.549978656003168
dunedin_1033,Dunedin,123,DeepLabv3+ ResNet50,0.880840568271625,0.9366456499617416,0.6063466294157281
dunedin_1034,Dunedin,123,DeepLabv3+ ResNet50,0.8571326820120643,0.9230710226728437,0.5135605511251787
dunedin_1035,Dunedin,123,DeepLabv3+ ResNet50,0.8559995935064455,0.9224135570948049,0.5120897155374395
dunedin_1036,Dunedin,123,DeepLabv3+ ResNet50,0.8643878201377917,0.927261818384825,0.5604112467491484
dunedin_1037,Dunedin,123,DeepLabv3+ ResNet50,0.8806496902251753,0.9365377239603744,0.5719343252961213
dunedin_1038,Dunedin,123,DeepLabv3+ ResNet50,0.8714154541604192,0.9312902190938732,0.5897748277617637
dunedin_1039,Dunedin,123,DeepLabv3+ ResNet50,0.8577721837635559,0.9234417344173971,0.5907483999177644
dunedin_104,Dunedin,123,DeepLabv3+ ResNet50,0.47235255426672945,0.6416296869891842,0.31543334293611114
dunedin_1040,Dunedin,123,DeepLabv3+ ResNet50,0.8794543048776299,0.9358613322975724,0.4099770187835408
dunedin_1041,Dunedin,123,DeepLabv3+ ResNet50,0.7609826431352577,0.8642704641089233,0.49164806086375734
dunedin_1042,Dunedin,123,DeepLabv3+ ResNet50,0.8625084619158652,0.9261793753447559,0.6141203703718591
dunedin_1043,Dunedin,123,DeepLabv3+ ResNet50,0.8405726171543225,0.9133816393007537,0.5574420496151639
dunedin_1044,Dunedin,123,DeepLabv3+ ResNet50,0.8662102637587799,0.9283093985497962,0.6618901816711088
dunedin_1045,Dunedin,123,DeepLabv3+ ResNet50,0.9514569373975864,0.9751247072522228,0.5475867678989452
dunedin_1046,Dunedin,123,DeepLabv3+ ResNet50,0.8463949843356492,0.9168081494085973,0.6081967213435904
dunedin_1047,Dunedin,123,DeepLabv3+ ResNet50,1.0,1.0,1.0
dunedin_1048,Dunedin,123,DeepLabv3+ ResNet50,1.0,1.0,1.0
dunedin_1049,Dunedin,123,DeepLabv3+ ResNet50,1.0,1.0,1.0
dunedin_105,Dunedin,123,DeepLabv3+ ResNet50,0.8946686754952167,0.9444064675437781,0.5983282251345872
dunedin_1050,Dunedin,123,DeepLabv3+ ResNet50,3.0674846616357407e-10,3.0674846616357407e-10,2.2779043274993382e-10
dunedin_1051,Dunedin,123,DeepLabv3+ ResNet50,4.056466006798407e-12,4.056466006798407e-12,4.432624113455529e-12
dunedin_1052,Dunedin,123,DeepLabv3+ ResNet50,1.3320900492695871e-11,1.3320900492695871e-11,1.4158289678406367e-11
dunedin_1053,Dunedin,123,DeepLabv3+ ResNet50,0.84026117528896,0.913197742333479,0.4077133448696553
dunedin_1054,Dunedin,123,DeepLabv3+ ResNet50,0.892620070285307,0.9432638745616576,0.6119684582283781
dunedin_1055,Dunedin,123,DeepLabv3+ ResNet50,0.8638731199158848,0.9269655865360921,0.5837277783845921
dunedin_1056,Dunedin,123,DeepLabv3+ ResNet50,0.8159238030059374,0.8986322021389322,0.5416425400512892
dunedin_1057,Dunedin,123,DeepLabv3+ ResNet50,0.801919691224604,0.8900726210273198,0.46471525866010466
dunedin_1058,Dunedin,123,DeepLabv3+ ResNet50,0.8564000547329603,0.9226460132335119,0.5566501276565425
dunedin_1059,Dunedin,123,DeepLabv3+ ResNet50,0.8479888030185018,0.9177423603794008,0.5904129699376813
dunedin_106,Dunedin,123,DeepLabv3+ ResNet50,0.9019424292071053,0.9484434600714939,0.651236342729047
dunedin_1060,Dunedin,123,DeepLabv3+ ResNet50,0.8719905523689816,0.9316185397041177,0.5983024550522984
dunedin_1061,Dunedin,123,DeepLabv3+ ResNet50,0.8819307563836206,0.9372616430142416,0.631264105284196
dunedin_1062,Dunedin,123,DeepLabv3+ ResNet50,0.8949201774591867,0.9445465704619954,0.6548381896593423
dunedin_1063,Dunedin,123,DeepLabv3+ ResNet50,0.8523768858527158,0.9203061130405874,0.5980404964083269
dunedin_1064,Dunedin,123,DeepLabv3+ ResNet50,0.8695002768372719,0.9301953977864122,0.6245087060588356
dunedin_1065,Dunedin,123,DeepLabv3+ ResNet50,0.8763996944945871,0.9341290100034949,0.6290628864166466
dunedin_1066,Dunedin,123,DeepLabv3+ ResNet50,0.8480626904669274,0.9177856301534442,0.5460976458361811
dunedin_1067,Dunedin,123,DeepLabv3+ ResNet50,0.8476986180699118,0.9175723895440836,0.5774686368717072
dunedin_1068,Dunedin,123,DeepLabv3+ ResNet50,0.8624645031685341,0.926154030534502,0.5768949062266632
dunedin_1069,Dunedin,123,DeepLabv3+ ResNet50,0.8620037357383293,0.925888298925974,0.5766185880065576
dunedin_107,Dunedin,123,DeepLabv3+ ResNet50,0.8641389133835438,0.9271185823966557,0.5888501742208031
dunedin_1070,Dunedin,123,DeepLabv3+ ResNet50,0.8294418298670821,0.9067703780746043,0.5419631839626398
dunedin_1071,Dunedin,123,DeepLabv3+ ResNet50,0.8785439618187142,0.935345650328152,0.5294037719454062
dunedin_1072,Dunedin,123,DeepLabv3+ ResNet50,0.8558538732396036,0.9223289458081831,0.5522288597483108
dunedin_1073,Dunedin,123,DeepLabv3+ ResNet50,0.8337468701496281,0.9093369250921154,0.5195322484461116
dunedin_1074,Dunedin,123,DeepLabv3+ ResNet50,0.8429951041052308,0.9148099224218453,0.5492116463543499
