seed,mIoU,F1,Boundary_IoU,threshold,min_area,closing_kernel,fill_holes
42,0.45215087917947916,0.5403658060828495,0.27898190613717133,0.7,128,5,False
123,0.4000672732038659,0.482574113762458,0.26120791380732084,0.4,128,0,False
456,0.49704593045259055,0.5952682591881102,0.2999852856612549,0.45,128,5,False
