image_name,seed,method,mIoU,F1,Boundary_IoU
dunedin_0,42,Compact-ResUNet target-adapted,0.7679591565606332,0.8687521470286534,0.48852252985070593
dunedin_1,42,Compact-ResUNet target-adapted,0.7900226311132736,0.8826956904134975,0.4801791341869291
dunedin_10,42,Compact-ResUNet target-adapted,0.697429709183788,0.8217479703697813,0.4501218589820568
dunedin_100,42,Compact-ResUNet target-adapted,0.6693209900770042,0.801908074067577,0.3587899159706972
dunedin_1000,42,Compact-ResUNet target-adapted,0.4624686852458403,0.6324493507599872,0.23362533693238793
dunedin_1001,42,Compact-ResUNet target-adapted,0.26501547992167085,0.4189916789320121,0.22626931575868992
dunedin_1002,42,Compact-ResUNet target-adapted,0.7967079468715189,0.8868530339153591,0.4042364240390612
dunedin_1003,42,Compact-ResUNet target-adapted,0.8009265567543136,0.8894605432406033,0.47804190170269856
dunedin_1004,42,Compact-ResUNet target-adapted,0.6870433558890231,0.8144940122499605,0.45267341040627207
dunedin_1005,42,Compact-ResUNet target-adapted,0.7406321089161069,0.8509921253575095,0.46144638582295094
dunedin_1006,42,Compact-ResUNet target-adapted,0.7197654424411184,0.8370507101472613,0.436677282378916
dunedin_1007,42,Compact-ResUNet target-adapted,0.8474624839757975,0.9174340386625544,0.577210044253429
dunedin_1008,42,Compact-ResUNet target-adapted,0.6315041463722607,0.774137347767444,0.36355262148009637
dunedin_1009,42,Compact-ResUNet target-adapted,0.7891035132595602,0.882121696605131,0.4621478215420211
dunedin_101,42,Compact-ResUNet target-adapted,0.7916052911753589,0.8836826895682497,0.4882878219244512
dunedin_1010,42,Compact-ResUNet target-adapted,0.6445136133546159,0.7838349383311137,0.4032314512400651
dunedin_1011,42,Compact-ResUNet target-adapted,0.8779914715869899,0.9350324374422265,0.6450697745771732
dunedin_1012,42,Compact-ResUNet target-adapted,0.8009482758629269,0.8894739361450159,0.48283645987792606
dunedin_1013,42,Compact-ResUNet target-adapted,0.4545854732228372,0.6250378291142312,0.33962739174635176
dunedin_1014,42,Compact-ResUNet target-adapted,0.7366541353388408,0.8483602121443355,0.40228754957099505
dunedin_1015,42,Compact-ResUNet target-adapted,0.5938868202479893,0.7452057607892968,0.3395306507226189
dunedin_1016,42,Compact-ResUNet target-adapted,0.8572387242614444,0.9231325117908049,0.5401298521927053
dunedin_1017,42,Compact-ResUNet target-adapted,0.7759095920620671,0.8738165450877952,0.45593152333969256
dunedin_1018,42,Compact-ResUNet target-adapted,0.7131240267781345,0.8325422043367082,0.439687114040056
dunedin_1019,42,Compact-ResUNet target-adapted,0.7755267551883986,0.8735737188100081,0.4814143959692303
dunedin_102,42,Compact-ResUNet target-adapted,0.7311484625333283,0.8446975847043099,0.41931182795823807
dunedin_1020,42,Compact-ResUNet target-adapted,0.26482526796706785,0.41875391751430674,0.31922896098590464
