image_name,region,image_path,gt_fg_ratio,lora_mIoU,hl_mIoU,lora_F1,hl_F1,lora_Boundary_IoU,hl_Boundary_IoU,lora_fp_ratio,hl_fp_ratio,lora_fn_ratio,hl_fn_ratio,delta_mIoU,delta_F1,delta_Boundary_IoU,delta_fp_ratio,delta_fn_ratio
potsdam_352,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_352.tif,0.19667816162109375,0.8590187417932451,0.8669815580178047,0.924163616515834,0.9287521392961449,0.2817228255891421,0.3184277983545198,0.027011871337890625,0.0229949951171875,0.00452423095703125,0.0062255859375,0.007962816224559632,0.004588522780310855,0.03670497276537771,0.004016876220703125,-0.00170135498046875
potsdam_1007,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_1007.tif,0.029491424560546875,1.1956001912817358e-11,1.2619888944818022e-11,1.1956001912817358e-11,1.2619888944818022e-11,0.007792207824422331,4.048582995787507e-11,0.002414703369140625,0.000736236572265625,0.029491424560546875,0.029491424560546875,6.638870320006636e-13,6.638870320006636e-13,-0.007792207783936501,0.001678466796875,0.0
potsdam_357,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_357.tif,0.3699607849121094,0.7613657096417696,0.7566516785559377,0.8645174655938563,0.8614703618168488,0.15308753676022127,0.13272595064317239,0.09002304077148438,0.08137893676757812,0.019744873046875,0.028453826904296875,-0.0047140310858319046,-0.003047103777007565,-0.020361586117048885,0.00864410400390625,-0.008708953857421875
potsdam_772,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_772.tif,0.17869949340820312,0.5056277695723699,0.5031995433523054,0.6716504301932958,0.6695046516976252,0.14836383805557068,0.1283981227386133,0.07955551147460938,0.07525253295898438,0.04811859130859375,0.05091094970703125,-0.0024282262200644444,-0.0021457784956706583,-0.019965715316957372,0.004302978515625,-0.0027923583984375
potsdam_789,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_789.tif,0.5140914916992188,0.6734756723467642,0.6434334239038495,0.8048825369564682,0.7830355821477059,0.11001779897535004,0.11482926161939769,0.0433502197265625,0.034854888916015625,0.13866806030273438,0.16088104248046875,-0.0300422484429147,-0.02184695480876231,0.004811462644047651,0.008495330810546875,-0.022212982177734375
potsdam_814,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_814.tif,0.41800689697265625,0.5999291282781125,0.57413109418368,0.7499446290145119,0.7294577895131563,0.11822251208277287,0.10384270118696944,0.09871673583984375,0.08127212524414062,0.10800933837890625,0.13135528564453125,-0.025798034094432487,-0.020486839501355547,-0.014379810895803438,0.017444610595703125,-0.023345947265625
potsdam_175,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_175.tif,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
potsdam_423,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_423.tif,0.7107162475585938,0.11161343196486584,0.14808721793275492,0.200813392057284,0.25797206975128917,6.946856547364036e-12,4.426737494446981e-12,0.001445770263671875,0.001155853271484375,0.6312294006347656,0.6052970886230469,0.03647378596788908,0.05715867769400518,-2.5201190529170547e-12,0.0002899169921875,0.02593231201171875
potsdam_553,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_553.tif,0.4911537170410156,0.4831930960090017,0.4652696849099106,0.651557908823955,0.6350635513740027,0.043765797586497124,0.044729719848421,0.039279937744140625,0.0293121337890625,0.23485183715820312,0.24899673461914062,-0.01792341109909107,-0.016494357449952313,0.0009639222619238774,0.009967803955078125,-0.0141448974609375
potsdam_779,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_779.tif,0.09430694580078125,0.7186581422702871,0.7198858750890336,0.8363014430789176,0.8371321440749071,0.1338133813511279,0.15301341090397458,0.00951385498046875,0.0032958984375,0.019695281982421875,0.024044036865234375,0.001227732818746441,0.0008307009959894751,0.019200029552846665,0.00621795654296875,-0.0043487548828125
potsdam_655,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_655.tif,0.0,1.0673497705084069e-11,1.189202045413376e-11,1.0673497705084069e-11,1.189202045413376e-11,3.294892915871667e-11,3.2819166392096515e-11,0.035739898681640625,0.032077789306640625,0.0,0.0,1.218522749049691e-12,1.218522749049691e-12,-1.2976276662015636e-13,0.003662109375,0.0
potsdam_205,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_205.tif,0.2775840759277344,0.7813457156161557,0.743608975561293,0.8772533133421754,0.8529538285059844,0.07622811971290071,0.06919513607950668,0.033779144287109375,0.0275726318359375,0.0343017578125,0.05066680908203125,-0.037736740054862716,-0.024299484836190932,-0.007032983633394024,0.006206512451171875,-0.01636505126953125
potsdam_1008,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_1008.tif,0.049663543701171875,0.5230909922289754,0.5264609982466694,0.6868808165725402,0.689779822544562,0.11712846348842529,0.1254977344620967,0.033763885498046875,0.0263824462890625,0.006023406982421875,0.0096282958984375,0.003370006017693994,0.002899005972021862,0.008369270973671405,0.007381439208984375,-0.003604888916015625
potsdam_267,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_267.tif,0.19817352294921875,0.8286743515852887,0.8412286891031928,0.9063115593728659,0.9137688263078926,0.09261186265166386,0.13632916193461955,0.04009246826171875,0.034305572509765625,0.000728607177734375,0.002605438232421875,0.012554337517904135,0.007457266935026685,0.04371729928295569,0.005786895751953125,-0.0018768310546875
potsdam_468,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_468.tif,0.06803131103515625,0.45142155860254385,0.48866700911940203,0.6220405862465331,0.6565162069493486,0.004703177267927433,0.0049931911143328055,0.06251907348632812,0.05078887939453125,0.009098052978515625,0.009967803955078125,0.03724545051685818,0.03447562070281551,0.00029001384640537243,0.011730194091796875,-0.0008697509765625
potsdam_426,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_426.tif,0.038860321044921875,0.3145024418990873,0.3291830493689778,0.47851176517225236,0.4953163516858523,0.024592331432132283,0.036388944133660873,0.0712738037109375,0.06592178344726562,0.004222869873046875,0.004367828369140625,0.014680607469890472,0.01680458651359995,0.01179661270152859,0.005352020263671875,-0.00014495849609375
potsdam_691,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_691.tif,0.022251129150390625,1.6007683687914076e-11,1.6212710764977094e-11,1.6007683687914076e-11,1.6212710764977094e-11,6.489292666678177e-11,6.798096532508626e-11,0.00157928466796875,0.001277923583984375,0.022251129150390625,0.022251129150390625,2.0502707706301865e-13,2.0502707706301865e-13,3.0880386583044954e-12,0.000301361083984375,0.0
potsdam_697,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_697.tif,0.40824127197265625,0.1839540737916672,0.22814556881461792,0.31074528626310566,0.3715285461389608,0.08373844874049079,0.11689463610887962,0.050922393798828125,0.040920257568359375,0.3237762451171875,0.3057670593261719,0.04419149502295072,0.060783259875855145,0.03315618736838884,0.01000213623046875,0.018009185791015625
potsdam_48,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_48.tif,0.11986923217773438,0.5311837680517388,0.4891800382761985,0.6938210541863026,0.6569790431007178,0.08129120537951678,0.09375618118880626,0.0151214599609375,0.00969696044921875,0.04816436767578125,0.056488037109375,-0.042003729775540344,-0.036842011085584825,0.012464975809289472,0.00542449951171875,-0.00832366943359375
potsdam_375,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_375.tif,0.20516586303710938,0.6255531550329649,0.6152762249014179,0.7696495843227072,0.7618216815378267,0.09870826225262791,0.12210820329636221,0.0508575439453125,0.0438995361328125,0.045009613037109375,0.051921844482421875,-0.010276930131547068,-0.007827902784880547,0.0233999410437343,0.0069580078125,-0.0069122314453125
potsdam_978,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_978.tif,0.000400543212890625,1.6722408026476215e-11,1.909125620429379e-11,1.6722408026476215e-11,1.909125620429379e-11,3.1017369726085066e-11,3.424657534129292e-11,0.022411346435546875,0.019580841064453125,0.000400543212890625,0.000400543212890625,2.3688481778175764e-12,2.3688481778175764e-12,3.229205615207856e-12,0.00283050537109375,0.0
potsdam_94,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_94.tif,0.08304977416992188,0.07810272582367228,0.05522187360351761,0.14488920944366354,0.1046640047612579,0.05461352127164471,0.08014247553932496,0.00525665283203125,0.002056121826171875,0.07615280151367188,0.07835006713867188,-0.022880852220154672,-0.040225204682405646,0.025528954267680252,0.003200531005859375,-0.002197265625
potsdam_798,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_798.tif,0.6102256774902344,0.6957820756825043,0.6876043589069296,0.8206031726127593,0.8148881048781408,0.1096309516249932,0.10177285479046252,0.10732650756835938,0.08429336547851562,0.11096572875976562,0.13267135620117188,-0.008177716775574662,-0.005715067734618495,-0.007858096834530676,0.02303314208984375,-0.02170562744140625
potsdam_948,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_948.tif,0.2856178283691406,0.6664900774523829,0.6624300965941629,0.7998728422927807,0.796941896024597,0.11223653113822293,0.11901530397754005,0.0744171142578125,0.067047119140625,0.045658111572265625,0.052001953125,-0.004059980858220014,-0.0029309462681836873,0.006778772839317118,0.0073699951171875,-0.006343841552734375
potsdam_516,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_516.tif,0.814453125,0.5508552535705922,0.5070820235399577,0.7103889963970158,0.6729322168528122,0.04834163772950742,0.03792918865428378,0.023193359375,0.02044677734375,0.3530311584472656,0.39109039306640625,-0.04377323003063449,-0.03745677954420357,-0.010412449075223637,0.00274658203125,-0.038059234619140625
potsdam_915,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_915.tif,0.4060935974121094,0.6362460537115028,0.5987902794898949,0.777689947386857,0.7490541907483372,0.0828007442800631,0.06928028512539812,0.14248275756835938,0.1293487548828125,0.057064056396484375,0.08547592163085938,-0.03745577422160784,-0.028635756638519805,-0.013520459154664974,0.013134002685546875,-0.028411865234375
potsdam_282,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_282.tif,0.3220100402832031,0.7863371074473312,0.826126964652311,0.880390497593082,0.9047859000423365,0.17505204719422243,0.20425559187845763,0.05904388427734375,0.038654327392578125,0.022373199462890625,0.02405548095703125,0.03978985720497974,0.024395402449254533,0.029203544684235194,0.020389556884765625,-0.001682281494140625
potsdam_23,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_23.tif,0.21732711791992188,0.7450752211772569,0.7541504614852351,0.8539175986631846,0.8598469493279339,0.13823602691164255,0.15696813238327068,0.05474853515625,0.045536041259765625,0.01461029052734375,0.0190887451171875,0.009075240307978238,0.005929350664749311,0.018732105471628124,0.009212493896484375,-0.00447845458984375
potsdam_70,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_70.tif,0.058345794677734375,0.7754912866161445,0.7198228839137533,0.8735512164565329,0.8370895522394138,0.3745034756780722,0.3238602007579651,0.003383636474609375,0.0010986328125,0.01047515869140625,0.01555633544921875,-0.05566840270239126,-0.03646166421711905,-0.05064327492010706,0.002285003662109375,-0.0050811767578125
potsdam_700,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_700.tif,0.01897430419921875,0.8552702460072675,0.8988422850654992,0.9219899341858112,0.9467266366821916,0.1040204212441595,0.2370820669272734,0.002269744873046875,0.001125335693359375,0.000804901123046875,0.00090789794921875,0.043572039058231704,0.02473670249638038,0.1330616456831139,0.0011444091796875,-0.000102996826171875
