image_name,seed,method,mIoU,F1,Boundary_IoU
dunedin_0,456,Compact-ResUNet target-adapted,0.7376174999518564,0.848998700775224,0.4796573875821883
dunedin_1,456,Compact-ResUNet target-adapted,0.7431829256412763,0.8526734798847724,0.4437023294189087
dunedin_10,456,Compact-ResUNet target-adapted,0.7240789509414817,0.8399603168356771,0.4959499442232335
dunedin_100,456,Compact-ResUNet target-adapted,0.7897928043696202,0.8825522177105365,0.49792561861388407
dunedin_1000,456,Compact-ResUNet target-adapted,0.6653147242448395,0.7990258112275279,0.2982799912961878
dunedin_1001,456,Compact-ResUNet target-adapted,0.29636475666689066,0.4572243346265578,0.26558891463445855
dunedin_1002,456,Compact-ResUNet target-adapted,0.656696032234418,0.792777938085048,0.40153352120256397
dunedin_1003,456,Compact-ResUNet target-adapted,0.7001112072198182,0.8236063667430511,0.3922299095371256
dunedin_1004,456,Compact-ResUNet target-adapted,0.6976041566444768,0.8218690486988507,0.445164262476044
dunedin_1005,456,Compact-ResUNet target-adapted,0.7304389488817671,0.8442238882263843,0.4621730306684791
dunedin_1006,456,Compact-ResUNet target-adapted,0.653712188362625,0.7905997101100748,0.438938938940019
dunedin_1007,456,Compact-ResUNet target-adapted,0.8009238629952753,0.8894588821352015,0.5132322619781365
dunedin_1008,456,Compact-ResUNet target-adapted,0.7139059770643064,0.8330748437986147,0.4234445351393574
dunedin_1009,456,Compact-ResUNet target-adapted,0.7999796899336539,0.8888763516692264,0.44706380576336063
dunedin_101,456,Compact-ResUNet target-adapted,0.7440446021291195,0.8532403371114303,0.4747988580340649
dunedin_1010,456,Compact-ResUNet target-adapted,0.6747148874972612,0.8057668711660414,0.4521579546927467
dunedin_1011,456,Compact-ResUNet target-adapted,0.7465705240953809,0.8548988017323157,0.5292659814889622
dunedin_1012,456,Compact-ResUNet target-adapted,0.6599418776074635,0.7951385364868692,0.4172053704665965
dunedin_1013,456,Compact-ResUNet target-adapted,0.46668293212029205,0.6363787590343671,0.34214501510928924
dunedin_1014,456,Compact-ResUNet target-adapted,0.6283854713423007,0.7717895822591638,0.3833932286760501
dunedin_1015,456,Compact-ResUNet target-adapted,0.40694454060996005,0.5784798602406966,0.22607408973616194
dunedin_1016,456,Compact-ResUNet target-adapted,0.7953642862307915,0.8860199485201777,0.4381717031265762
dunedin_1017,456,Compact-ResUNet target-adapted,0.712681302556983,0.8322404191519489,0.40155634002576324
dunedin_1018,456,Compact-ResUNet target-adapted,0.6381192161137206,0.779087638844072,0.37095971027756686
dunedin_1019,456,Compact-ResUNet target-adapted,0.7197228973435185,0.8370219393544743,0.4264910218057223
dunedin_102,456,Compact-ResUNet target-adapted,0.7521088821155548,0.8585184286119819,0.4516375242865861
dunedin_1020,456,Compact-ResUNet target-adapted,0.1970980590529269,0.3292930893360551,0.2597724456543903
dunedin_1021,456,Compact-ResUNet target-adapted,0.4587037878302089,0.6289197185294492,0.19948256671219433
dunedin_1022,456,Compact-ResUNet target-adapted,0.4495723956986478,0.620282777227878,0.17863901490815648
dunedin_1023,456,Compact-ResUNet target-adapted,0.534208088294999,0.6963958701176239,0.3550290778785918
dunedin_1024,456,Compact-ResUNet target-adapted,0.7369869902993198,0.8485808983200513,0.4875542311243097
dunedin_1025,456,Compact-ResUNet target-adapted,0.790905404907554,0.8832464324918474,0.521350488537252
dunedin_1026,456,Compact-ResUNet target-adapted,0.7972398600495046,0.8871824821729379,0.5336002896770249
dunedin_1027,456,Compact-ResUNet target-adapted,0.6300477198041349,0.7730420553328502,0.39657914266636646
dunedin_1028,456,Compact-ResUNet target-adapted,0.6078965821443508,0.7561389070601784,0.3875497441739861
dunedin_1029,456,Compact-ResUNet target-adapted,0.7206108249756562,0.8376220985192336,0.46096241041550107
dunedin_103,456,Compact-ResUNet target-adapted,0.810774340877046,0.8955001433078374,0.4544424997482297
dunedin_1030,456,Compact-ResUNet target-adapted,0.7333715825853825,0.8461793073720885,0.49615939568940726
dunedin_1031,456,Compact-ResUNet target-adapted,0.8008166504533808,0.8893927655008,0.5539082412923664
dunedin_1032,456,Compact-ResUNet target-adapted,0.6419748826943118,0.7819545712426146,0.3998243174009959
dunedin_1033,456,Compact-ResUNet target-adapted,0.7900845798262075,0.8827343564993501,0.482919825609786
dunedin_1034,456,Compact-ResUNet target-adapted,0.73288205313685,0.8458533595060382,0.4095984997029034
dunedin_1035,456,Compact-ResUNet target-adapted,0.7515871495181049,0.8581784237510424,0.4115676106916326
dunedin_1036,456,Compact-ResUNet target-adapted,0.6795665433785224,0.8092165756188742,0.4334397055753804
dunedin_1037,456,Compact-ResUNet target-adapted,0.7798593658774657,0.8763157144080523,0.4430750234389521
dunedin_1038,456,Compact-ResUNet target-adapted,0.3054678643074815,0.4679822041717752,0.25196556992490976
dunedin_1039,456,Compact-ResUNet target-adapted,0.6922705187820748,0.8181558575873347,0.4610287587962269
dunedin_104,456,Compact-ResUNet target-adapted,0.29771331969348824,0.4588275625661336,0.2290862290924301
dunedin_1040,456,Compact-ResUNet target-adapted,0.2855087512988884,0.4441957334169221,0.22083349607772199
dunedin_1041,456,Compact-ResUNet target-adapted,0.560074155886005,0.7180096584160729,0.3874851485172773
dunedin_1042,456,Compact-ResUNet target-adapted,0.5951353995295586,0.746187940791478,0.38775070862406175
dunedin_1043,456,Compact-ResUNet target-adapted,0.6388655874642795,0.7796436661441675,0.3931167899173356
dunedin_1044,456,Compact-ResUNet target-adapted,0.7815539168542761,0.8773845230955648,0.5269320843110437
dunedin_1045,456,Compact-ResUNet target-adapted,0.7839660120564661,0.8789024081828485,0.40575993688033457
dunedin_1046,456,Compact-ResUNet target-adapted,0.2651560326124994,0.4191673212974208,0.1900552486411587
dunedin_1047,456,Compact-ResUNet target-adapted,1.0,1.0,1.0
dunedin_1048,456,Compact-ResUNet target-adapted,2.1834061130603914e-10,2.1834061130603914e-10,2.0661157020524552e-10
dunedin_1049,456,Compact-ResUNet target-adapted,1.0,1.0,1.0
dunedin_105,456,Compact-ResUNet target-adapted,0.6373928600047064,0.7785460356808673,0.40876952032448866
dunedin_1050,456,Compact-ResUNet target-adapted,8.655011251439717e-12,8.655011251439717e-12,3.015681543938007e-11
dunedin_1051,456,Compact-ResUNet target-adapted,6.692096633870915e-13,6.692096633870915e-13,3.658045871881852e-12
dunedin_1052,456,Compact-ResUNet target-adapted,3.201126796622167e-12,3.201126796622167e-12,7.631840036574587e-12
dunedin_1053,456,Compact-ResUNet target-adapted,0.6122535575683185,0.7595003337956661,0.2572495849494819
dunedin_1054,456,Compact-ResUNet target-adapted,0.7003195617445781,0.8237505201973074,0.4004950706354808
dunedin_1055,456,Compact-ResUNet target-adapted,0.6735948544288807,0.8049676451217773,0.3940403021722946
dunedin_1056,456,Compact-ResUNet target-adapted,0.6655587070855262,0.7992017384364724,0.40187087729113086
dunedin_1057,456,Compact-ResUNet target-adapted,0.5080457730870078,0.673780308467343,0.3370459526485214
dunedin_1058,456,Compact-ResUNet target-adapted,0.7111087144092848,0.8311671940197971,0.4035383319305218
dunedin_1059,456,Compact-ResUNet target-adapted,0.6765247397495611,0.8070560770257509,0.4040680795481854
dunedin_106,456,Compact-ResUNet target-adapted,0.8578707041583375,0.9234988228600018,0.5633842671235296
dunedin_1060,456,Compact-ResUNet target-adapted,0.7468135469776779,0.8550581122635957,0.5051624231790954
dunedin_1061,456,Compact-ResUNet target-adapted,0.7845798440661663,0.8792880258900705,0.49203552997347155
dunedin_1062,456,Compact-ResUNet target-adapted,0.7570822498976357,0.8617493574266806,0.5089182914639042
dunedin_1063,456,Compact-ResUNet target-adapted,0.6322073383812662,0.7746654772525918,0.4411242311623177
dunedin_1064,456,Compact-ResUNet target-adapted,0.7364366847474435,0.8482159945318878,0.4744340248186522
dunedin_1065,456,Compact-ResUNet target-adapted,0.7329725829729041,0.8459136516925171,0.49417744566344085
dunedin_1066,456,Compact-ResUNet target-adapted,0.7407512202041399,0.8510707464754721,0.4154709245936404
dunedin_1067,456,Compact-ResUNet target-adapted,0.7098268113563112,0.8302908886931403,0.503618514551668
dunedin_1068,456,Compact-ResUNet target-adapted,0.7068160705995044,0.8282275785593484,0.45687622397294897
dunedin_1069,456,Compact-ResUNet target-adapted,0.7240187740868904,0.8399198256646291,0.44977637656820557
dunedin_107,456,Compact-ResUNet target-adapted,0.7930986982588808,0.8846124298998056,0.5389079711057809
dunedin_1070,456,Compact-ResUNet target-adapted,0.7125349940013022,0.8321406528883817,0.4058596411546584
dunedin_1071,456,Compact-ResUNet target-adapted,0.7172582150027259,0.8353527835666602,0.3715415997048547
dunedin_1072,456,Compact-ResUNet target-adapted,0.7635142314097259,0.8659008448140566,0.434324953130866
dunedin_1073,456,Compact-ResUNet target-adapted,0.7253616662299782,0.8408227450825977,0.4179146286293221
dunedin_1074,456,Compact-ResUNet target-adapted,0.7331720526182002,0.846046474740387,0.43360186806904005
dunedin_1075,456,Compact-ResUNet target-adapted,0.739309390253103,0.8501183221294841,0.47571318427248804
dunedin_1076,456,Compact-ResUNet target-adapted,0.7925829349561168,0.8842915097542594,0.5069896698868545
dunedin_1077,456,Compact-ResUNet target-adapted,0.5074216221226593,0.6732311845278712,0.2837262684745649
dunedin_1078,456,Compact-ResUNet target-adapted,0.32956521744960304,0.4957488554940648,0.2774869110578109
dunedin_1079,456,Compact-ResUNet target-adapted,0.6510638298367286,0.7886597938325893,0.4829157175987568
dunedin_108,456,Compact-ResUNet target-adapted,0.755408140868338,0.860663823165927,0.41816505302250734
dunedin_1080,456,Compact-ResUNet target-adapted,0.5606002060797448,0.7184417942476797,0.19223095526241768
dunedin_1081,456,Compact-ResUNet target-adapted,0.3828565655890569,0.5537184045198256,0.18439929269948152
dunedin_1082,456,Compact-ResUNet target-adapted,0.7947284345068417,0.8856252781492789,0.4015215553778272
dunedin_1083,456,Compact-ResUNet target-adapted,2.7932960886052244e-10,2.7932960886052244e-10,2.386634844299132e-10
dunedin_1084,456,Compact-ResUNet target-adapted,1.0,1.0,1.0
dunedin_1085,456,Compact-ResUNet target-adapted,4.45831475682308e-11,4.45831475682308e-11,4.3687199648593835e-11
dunedin_1086,456,Compact-ResUNet target-adapted,1.0,1.0,1.0
dunedin_1087,456,Compact-ResUNet target-adapted,1.0,1.0,1.0
dunedin_1088,456,Compact-ResUNet target-adapted,9.114108640091922e-12,9.114108640091922e-12,2.2768670309135503e-11
dunedin_1089,456,Compact-ResUNet target-adapted,4.8367593711978875e-12,4.8367593711978875e-12,3.500175008627925e-11
dunedin_109,456,Compact-ResUNet target-adapted,0.7931391276668971,0.884637578232671,0.4339278105823
dunedin_1090,456,Compact-ResUNet target-adapted,0.6735611118390855,0.8049435507003299,0.34470730289636103
dunedin_1091,456,Compact-ResUNet target-adapted,0.7574208085978302,0.861968635960324,0.45924503512325415
dunedin_1092,456,Compact-ResUNet target-adapted,0.7097159105337661,0.8302150154432242,0.40002572237117373
dunedin_1093,456,Compact-ResUNet target-adapted,0.7149496748106733,0.8337850204140559,0.5040182604985877
dunedin_1094,456,Compact-ResUNet target-adapted,0.811726648969622,0.8960807077946307,0.5243806527734851
dunedin_1095,456,Compact-ResUNet target-adapted,0.7795635639263633,0.8761289337777775,0.46712716696745793
dunedin_1096,456,Compact-ResUNet target-adapted,0.769131382146121,0.8695017113008551,0.48926040145090216
dunedin_1097,456,Compact-ResUNet target-adapted,0.8139007526330826,0.8974038424666201,0.5153492030455147
dunedin_1098,456,Compact-ResUNet target-adapted,0.8093154649121975,0.8946095698700187,0.5562148904194236
dunedin_1099,456,Compact-ResUNet target-adapted,0.7705789036338597,0.8704259404110998,0.5094026432468863
dunedin_11,456,Compact-ResUNet target-adapted,0.8532125447206871,0.9207929734246418,0.5790050330414661
dunedin_110,456,Compact-ResUNet target-adapted,0.4430504596208341,0.6140470787655202,0.19736213576987058
dunedin_1100,456,Compact-ResUNet target-adapted,0.7358813121655797,0.8478474962639561,0.46108440846727994
dunedin_1101,456,Compact-ResUNet target-adapted,0.7504866694882407,0.8574605937531204,0.5075734097785939
dunedin_1102,456,Compact-ResUNet target-adapted,0.7488550689513211,0.8563946575633292,0.47333440102603835
dunedin_1103,456,Compact-ResUNet target-adapted,0.7122780339452169,0.8319653932649851,0.43953297594398855
dunedin_1104,456,Compact-ResUNet target-adapted,0.723574353646203,0.8396207011497836,0.4470205536228928
dunedin_1105,456,Compact-ResUNet target-adapted,0.7646082094110753,0.8666039354607515,0.4771487039573345
dunedin_1106,456,Compact-ResUNet target-adapted,0.6231711698323569,0.7678440591038529,0.3918004406684927
dunedin_1107,456,Compact-ResUNet target-adapted,0.6476435973014617,0.7861452541824864,0.3789501590679057
dunedin_1108,456,Compact-ResUNet target-adapted,0.7679611745868729,0.8687534382832375,0.4150958355643791
dunedin_1109,456,Compact-ResUNet target-adapted,0.7325741054845183,0.8456482215282367,0.41153650764464156
dunedin_111,456,Compact-ResUNet target-adapted,0.5199182714665623,0.6841397741270685,0.16959932845003842
dunedin_1110,456,Compact-ResUNet target-adapted,0.5467289719635499,0.7069486404837737,0.3770403241390043
dunedin_1111,456,Compact-ResUNet target-adapted,0.6741857188932325,0.8053894036782929,0.4058109939529772
dunedin_1112,456,Compact-ResUNet target-adapted,0.6492310966858691,0.787313673614591,0.39436134619467444
dunedin_1113,456,Compact-ResUNet target-adapted,0.5702027204272859,0.7262791141663654,0.36980515824208915
dunedin_1114,456,Compact-ResUNet target-adapted,2.6525198931956176e-10,2.6525198931956176e-10,1.9493177384114391e-10
dunedin_1115,456,Compact-ResUNet target-adapted,0.7653769841328032,0.8670974992994226,0.5746855346079134
dunedin_1116,456,Compact-ResUNet target-adapted,0.8081194704149989,0.893878400888469,0.3475496539731753
dunedin_1117,456,Compact-ResUNet target-adapted,0.2006957272112925,0.33429906122340397,0.1480925532725046
