method,seed,image_id,path,tp,fp,fn,pred_area,gt_area,iou,f1,biou
UNetFormer-style ResNet34,42,dunedin_0,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_0.tif,39632,4273,3394,43905,43026,0.83790355,0.91180361,0.73523439
UNetFormer-style ResNet34,42,dunedin_1,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1.tif,39993,5551,3210,45544,43203,0.82030192,0.90128117,0.65591496
UNetFormer-style ResNet34,42,dunedin_10,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_10.tif,31274,2790,1389,34064,32663,0.88212563,0.93737168,0.77780730
UNetFormer-style ResNet34,42,dunedin_100,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_100.tif,22190,2094,1599,24284,23789,0.85731948,0.92317933,0.67076000
UNetFormer-style ResNet34,42,dunedin_1000,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1000.tif,19828,1514,972,21342,20800,0.88859012,0.94100897,0.74932976
UNetFormer-style ResNet34,42,dunedin_1001,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1001.tif,516,559,1080,1075,1596,0.23944316,0.38637215,0.18495100
UNetFormer-style ResNet34,42,dunedin_1002,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1002.tif,45274,4935,4911,50209,50185,0.82137155,0.90192641,0.66018881
UNetFormer-style ResNet34,42,dunedin_1003,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1003.tif,5843,600,816,6443,6659,0.80493181,0.89192490,0.69851653
UNetFormer-style ResNet34,42,dunedin_1004,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1004.tif,41758,4516,4814,46274,46572,0.81737394,0.89951102,0.72164603
UNetFormer-style ResNet34,42,dunedin_1005,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1005.tif,65259,7512,6637,72771,71896,0.82181896,0.90219608,0.73318082
UNetFormer-style ResNet34,42,dunedin_1006,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1006.tif,67091,8302,6173,75393,73264,0.82253635,0.90262820,0.71021792
UNetFormer-style ResNet34,42,dunedin_1007,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1007.tif,57906,4388,4115,62294,62021,0.87196013,0.93160117,0.77264044
UNetFormer-style ResNet34,42,dunedin_1008,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1008.tif,53349,5102,2913,58451,56262,0.86938596,0.93012998,0.75827661
UNetFormer-style ResNet34,42,dunedin_101,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_101.tif,54547,4015,7131,58562,61678,0.83033200,0.90730206,0.73023413
UNetFormer-style ResNet34,42,dunedin_1010,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1010.tif,24689,1982,1523,26671,26212,0.87568277,0.93372161,0.76850637
UNetFormer-style ResNet34,42,dunedin_1011,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1011.tif,20481,2613,376,23094,20857,0.87264593,0.93199245,0.79630052
UNetFormer-style ResNet34,42,dunedin_1012,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1012.tif,16934,2117,3997,19051,20931,0.73472753,0.84708119,0.72610101
UNetFormer-style ResNet34,42,dunedin_1013,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1013.tif,22142,2455,3507,24597,25649,0.78785938,0.88134379,0.68819480
UNetFormer-style ResNet34,42,dunedin_1014,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1014.tif,37318,7066,3736,44384,41054,0.77551953,0.87356914,0.64157376
UNetFormer-style ResNet34,42,dunedin_1015,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1015.tif,14774,18498,2818,33272,17592,0.40936548,0.58092167,0.34546603
UNetFormer-style ResNet34,42,dunedin_1016,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1016.tif,24595,1676,1732,26271,26327,0.87829875,0.93520666,0.74789128
UNetFormer-style ResNet34,42,dunedin_1017,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1017.tif,60883,4792,4192,65675,65075,0.87141283,0.93128872,0.74925955
UNetFormer-style ResNet34,42,dunedin_1018,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1018.tif,58653,8135,3382,66788,62035,0.83587003,0.91059826,0.72743839
UNetFormer-style ResNet34,42,dunedin_1019,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1019.tif,48027,3366,10566,51393,58593,0.77514163,0.87332933,0.67829578
UNetFormer-style ResNet34,42,dunedin_102,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_102.tif,71374,5796,7281,77170,78655,0.84515281,0.91607893,0.69572560
UNetFormer-style ResNet34,42,dunedin_1020,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1020.tif,11464,445,19802,11909,31266,0.36151493,0.53104806,0.27531426
UNetFormer-style ResNet34,42,dunedin_1021,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1021.tif,72842,3648,17138,76490,89980,0.77799376,0.87513666,0.55086967
UNetFormer-style ResNet34,42,dunedin_1022,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1022.tif,65865,2799,6709,68664,72574,0.87385403,0.93268101,0.63651839
UNetFormer-style ResNet34,42,dunedin_1023,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1023.tif,79555,6661,6645,86216,86200,0.85671057,0.92282619,0.71821771
UNetFormer-style ResNet34,42,dunedin_1024,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1024.tif,57088,4928,9602,62016,66690,0.79711804,0.88710705,0.73425202
UNetFormer-style ResNet34,42,dunedin_1025,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1025.tif,69421,6975,5607,76396,75028,0.84656659,0.91690881,0.76468930
UNetFormer-style ResNet34,42,dunedin_1026,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1026.tif,61004,6096,7992,67100,68996,0.81239013,0.89648483,0.70257108
UNetFormer-style ResNet34,42,dunedin_1027,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1027.tif,64397,9209,2385,73606,66782,0.84742930,0.91741459,0.73166833
